club, country
Real Madrid, Spain
Atlético Madrid, Spain
Barcelona, Spain
Bayern München, Germany
Juventus, Italy
Manchester City, England
Paris Saint-Germain, France
Liverpool, England
Manchester United, England
Arsenal FC, England
Sevilla, Spain
Tottenham Hotspur, England
Borussia Dortmund, Germany
Chelsea FC, England
AS Roma, Italy
SSC Napoli, Italy
Olympique Lyonnais, France
Shakhtar Donetsk, Ukraine
FC Porto, Portugal
SL Benfica, Portugal
AFC Ajax, Netherlands
Zenit, Russia
Leverkusen, Germany
Villarreal, Spain
Dynamo Kyiv, Ukraine
FC Basel 1893, Switzerland
Beşiktaş, Turkey
Valencia, Spain
FC Salzburg, Austria
Sporting CP, Portugal
FC Schalke 04, Germany
CSKA Moskva, Russia
RB Leipzig, Germany
Olympiacos FC, Greece
AS Monaco, France
SS Lazio, Italy
SC Braga, Portugal
KAA Gent, Belgium
København, Denmark
PSV Eindhoven, Netherlands
RSC Anderlecht, Belgium
Athletic Bilbao, Spain
Wolfsburg, Germany
FC Krasnodar, Russia
Celtic FC, Scotland
Viktoria Plzeň, Czech Republic
Dinamo Zagreb, Croatia
Eintracht Frankfurt, Germany
Lokomotiv Moskva, Russia
Inter Milán, Italy
Fenerbahçe, Turkey
Atalanta BC, Italy
Olympique Marseille, France
Sparta Praha, Czech Republic
KRC Genk, Belgium
Astana, Kazakhstan
Club Brugge KV, Belgium
APOEL, Cyprus
Slavia Praha, Czech Republic
Ludogorets, Bulgaria
Mönchengladbach, Germany
Young Boys, Switzerland
BATE Borisov, Belarus
Galatasaray, Turkey
FK Crvena Zvezda, Serbia
Rapid Wien, Austria
FK Partizan, Serbia
Leicester City, England
AS Saint-Étienne, France
Malmö FF, Sweden
İstanbul Başakşehir, Turkey
PAOK FC, Greece
Qarabağ, Azerbaijan
FCSB, Romania
Standard Liège, Belgium
Celta Vigo, Spain
AC Milán, Italy
Fiorentina, Italy
AZ Alkmaar, Netherlands
Spartak, Russia
Legia Warszawa, Poland
Feyenoord Rotterdam, Netherlands
R. Sociedad, Spain
Getafe CF, Spain
Espanyol Barcelona, Spain
Real Betis, Spain
AEK Athens, Greece
M. Tel-Aviv, Israel
Rangers FC, Scotland
Molde FK, Norway
Midtjylland, Denmark
Southampton, England
Burnley FC, England
Wolverhampton Wanderers, England
West Ham United, England
Everton, England
Stade Rennais FC, France
NK Maribor, Slovenia
LASK Linz, Austria
H. Beer-Sheva, Israel
Rosenborg, Norway
FC Zürich, Switzerland
FC Sheriff, Moldova
Apollon, Cyprus
CFR Cluj, Romania
Zorya, Ukraine
Rostov, Russia
SC Freiburg, Germany
Mainz, Germany
1. FC Köln, Germany
Hoffenheim, Germany
Augsburg, Germany
Hertha Berlin, Germany
