#######################################################
#
#  uefa clubs ranking / coefficients
#    see https://www.uefa.com/memberassociations/uefarankings/club/#/yr/2019
#
#  check all 450 names
#   country code is fifa code ??
#    - check all countries / check country lookup by fifa code - why? why not?
#   config.countries[ 'ESP' ]
#    -- add countries lookup
#      check if key is all lowercase? - use key
#      check if key is all uppercase and three letters - use fifa code
#      change countries to back to fifa code!!!

Rank,  Name,     Country
1,   Real Madrid CF,            ESP
2,   FC Barcelona,              ESP
3,   FC Bayern München,         GER
4,   Club Atlético de Madrid,   ESP
5,   Juventus,                  ITA
6,   Manchester City FC,        ENG
7,   Sevilla FC,                ESP
8,   Paris Saint-Germain,       FRA
9,   Arsenal FC,                ENG
10,  FC Porto,                  POR
11, Liverpool FC, ENG
12, Chelsea FC, ENG
13, Borussia Dortmund, GER
14, AS Roma, ITA
15, SSC Napoli, ITA
16, FC Shakhtar Donetsk, UKR
17, Tottenham Hotspur, ENG
18, Manchester United FC, ENG
19, FC Zenit, RUS
20, AFC Ajax, NED
21, SL Benfica, POR
22, Villarreal CF, ESP
23, FC Dynamo Kyiv, UKR
24, FC Schalke 04, GER
25, Beşiktaş JK, TUR
26, AS Monaco FC, MCO        # note: changed to MCO from  FRA !!!!
27, Olympique Lyonnais, FRA
28, Bayer 04 Leverkusen, GER
29, FC Salzburg, AUT
30, FC Basel 1893, SUI
31, Sporting Clube de Portugal, POR
32, PFC CSKA Moskva, RUS
33, RSC Anderlecht, BEL
34, Athletic Club, ESP
35, Olympiacos FC, GRE
36, VfL Wolfsburg, GER
37, Club Brugge, BEL
38, ACF Fiorentina, ITA
39, Valencia CF, ESP
40, SS Lazio, ITA
41, PSV Eindhoven, NED
42, AC Sparta Praha, CZE
43, FC Krasnodar, RUS
44, FC Viktoria Plzeň, CZE
45, Fenerbahçe SK, TUR
46, FC Internazionale Milano, ITA
47, Celtic FC, SCO
48, FC København, DEN
49, Olympique de Marseille, FRA
50, SC Braga, POR
51, GNK Dinamo Zagreb, CRO
52, KAA Gent, BEL
53, VfL Borussia Mönchengladbach, GER
54, FC Lokomotiv Moskva, RUS
55, FC BATE Borisov, BLR
56, BSC Young Boys, SUI
57, FC Astana, KAZ
58, PFC Ludogorets 1945, BUL
59, APOEL FC, CYP
60, KRC Genk, BEL
61, Legia Warszawa, POL
62, Eintracht Frankfurt, GER
63, FC Dnipro, UKR
64, SK Rapid Wien, AUT
65, PAOK FC, GRE
66, FCSB, ROU
67, AS Saint-Étienne, FRA
68, Galatasaray AŞ, TUR
69, RB Leipzig, GER
70, Qarabağ FK, AZE
71, Feyenoord, NED
72, Leicester City FC, ENG
73, SK Slavia Praha, CZE
74, Real Betis Balompié, ESP
75, Real Sociedad de Fútbol, ESP
76, RC Celta de Vigo, ESP
77, Malmö FF, SWE
78, AC Milan, ITA
79, NK Maribor, SVN
80, FC Zürich, SUI
81, FK Partizan, SRB
82, R. Standard de Liège, BEL
83, Burnley FC, ENG
84, Everton FC, ENG
85, Southampton FC, ENG
86, West Ham United FC, ENG
87, Hull City AFC, ENG
88, FK Crvena zvezda, SRB
89, FC Spartak Moskva, RUS
90, Maccabi Tel-Aviv FC, ISR
91, FC Dinamo Moskva, RUS
92, Atalanta BC, ITA
93, US Sassuolo Calcio, ITA
94, UC Sampdoria, ITA
95, Torino FC, ITA
96, TSG 1899 Hoffenheim, GER
97, Hertha BSC Berlin, GER
98, 1. FC Köln, GER
99, SC Freiburg, GER
100, 1. FSV Mainz 05, GER
101, FC Augsburg, GER
102, AEK Athens FC, GRE
103, FC Midtjylland, DEN
104, Molde FK, NOR
105, HNK Rijeka, CRO
106, FC Rostov, RUS
107, FC Astra Giurgiu, ROU
108, FC Sheriff Tiraspol, MDA
109, Apollon Limassol FC, CYP
110, Hapoel Beer-Sheva FC, ISR
111, Stade Rennais FC, FRA
112, FC Girondins de Bordeaux, FRA
113, OGC Nice, FRA
114, LOSC Lille, FRA
115, EA Guingamp, FRA
116, Rosenborg BK, NOR
117, FC Zorya Luhansk, UKR
118, İstanbul Başakşehir, TUR
119, AZ Alkmaar, NED
120, FC Ufa, RUS
121, FC Rubin, RUS
122, Östersunds FK, SWE
123, Rio Ave FC, POR
124, Vitória SC, POR
125, CS Marítimo, POR
126, FC Arouca, POR
127, Os Belenenses, POR
128, Estoril Praia, POR
129, CD Nacional, POR
130, Asteras Tripolis FC, GRE
