Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-07-26,21:00 (02:00),Racing Club,0–0,CA Unión,,Estadio Presidente Juan Domingo Perón,Nicolás Lamolina,Match Report,
1,Sat,2019-07-27,13:15 (18:15),Colón,0–1,Patronato,,Estadio Brigadier General Estanislao Lóp...,Silvio Trucco,Match Report,
1,Sat,2019-07-27,15:30 (20:30),San Lorenzo,3–2,Godoy Cruz,,Estadio Pedro Bidegaín,Andrés Merlos,Match Report,
1,Sat,2019-07-27,17:45 (22:45),Lanús,1–1,Gimnasia ELP,,Estadio Ciudad de Lanús,Darío Herrera,Match Report,
1,Sat,2019-07-27,20:00 (01:00),Argentinos Jun,1–1,River Plate,,Estadio Diego Armando Maradona,Fernando Rapallini,Match Report,
1,Sun,2019-07-28,11:00 (16:00),Estudiantes,1–0,Aldosivi,,Estadio Ciudad de La Plata,Fernando Espinoza,Match Report,
1,Sun,2019-07-28,13:15 (18:15),Newell's OB,2–0,CC Córdoba,,Estadio Marcelo Alberto Bielsa,Facundo Tello,Match Report,
1,Sun,2019-07-28,15:30 (20:30),Talleres,1–0,Vélez Sarsf,,Estadio Mario Alberto Kempes,Ariel Penel,Match Report,
1,Sun,2019-07-28,17:45 (22:45),Defensa y Just,0–1,Independiente,,Estadio Norberto Tito Tomaghello,Patricio Loustau,Match Report,
1,Sun,2019-07-28,20:00 (01:00),Boca Juniors,0–0,CA Huracán,,Estadio Alberto José Armando,Diego Abal,Match Report,
1,Mon,2019-07-29,19:00 (00:00),Arsenal,1–0,Banfield,,Estadio Julio Humberto Grondona,Hernán Mastrángelo,Match Report,
1,Mon,2019-07-29,21:10 (02:10),Tucumán,1–2,Rosario Cent,,Estadio Monumental Presidente José Fierr...,Néstor Pitana,Match Report,
,,,,,,,,,,,
2,Fri,2019-08-02,21:00 (02:00),CA Huracán,2–0,Colón,,Estadio Tomás Adolfo Ducó,Hernán Mastrángelo,Match Report,
2,Sat,2019-08-03,13:15 (18:15),Aldosivi,0–0,Argentinos Jun,,Estadio José María Minella,Diego Abal,Match Report,
2,Sat,2019-08-03,15:30 (20:30),Rosario Cent,1–0,Talleres,,Estadio Dr. Lisandro de la Torre,Facundo Tello,Match Report,
2,Sat,2019-08-03,17:45 (22:45),CC Córdoba,1–0,Tucumán,,Estadio Victor Antonio Aguirre,Pablo Echavarría,Match Report,
2,Sat,2019-08-03,20:00 (01:00),Vélez Sarsf,2–2,Racing Club,,Estadio José Amalfitani,Néstor Pitana,Match Report,
2,Sun,2019-08-04,11:00 (16:00),CA Unión,2–1,Defensa y Just,,Estadio 15 de Abril,Darío Herrera,Match Report,
2,Sun,2019-08-04,13:15 (18:15),Gimnasia ELP,0–1,San Lorenzo,,Estadio Juan Carmelo Zerillo,Fernando Espinoza,Match Report,
2,Sun,2019-08-04,15:30 (20:30),Banfield,1–0,Estudiantes,,Estadio Florencio Solá,Nazareno Arasa,Match Report,
2,Sun,2019-08-04,17:45 (22:45),River Plate,3–0,Lanús,,Estadio Monumental Antonio Vespucio Libe...,Germán Delfino,Match Report,
2,Sun,2019-08-04,20:00 (01:00),Patronato,0–2,Boca Juniors,,Estadio Presbítero Bartolomé Grella,Fernando Rapallini,Match Report,
2,Mon,2019-08-05,21:10 (02:10),Godoy Cruz,0–2,Arsenal,,Estadio Malvinas Argentinas,Patricio Loustau,Match Report,
,,,,,,,,,,,
3,Fri,2019-08-16,19:00 (00:00),Argentinos Jun,3–2,Banfield,,Estadio Diego Armando Maradona,Andrés Merlos,Match Report,
3,Fri,2019-08-16,21:10 (02:10),Talleres,1–1,CC Córdoba,,Estadio Mario Alberto Kempes,Nicolás Lamolina,Match Report,
3,Sat,2019-08-17,15:30 (20:30),Newell's OB,2–0,CA Unión,,Estadio Marcelo Alberto Bielsa,Ariel Penel,Match Report,
3,Sat,2019-08-17,17:45 (22:45),San Lorenzo,2–2,Rosario Cent,,Estadio Pedro Bidegaín,Fernando Rapallini,Match Report,
3,Sat,2019-08-17,20:00 (01:00),Racing Club,1–6,River Plate,,Estadio Presidente Juan Domingo Perón,Patricio Loustau,Match Report,
3,Sun,2019-08-18,11:00 (16:00),Patronato,2–1,CA Huracán,,Estadio Presbítero Bartolomé Grella,Germán Delfino,Match Report,
3,Sun,2019-08-18,15:30 (20:30),Defensa y Just,0–3,Arsenal,,Estadio Norberto Tito Tomaghello,Fernando Espinoza,Match Report,
3,Sun,2019-08-18,17:45 (22:45),Lanús,3–1,Vélez Sarsf,,Estadio Ciudad de Lanús,Facundo Tello,Match Report,
3,Sun,2019-08-18,20:00 (01:00),Boca Juniors,2–0,Aldosivi,,Estadio Alberto José Armando,Mauro Vigliano,Match Report,
3,Mon,2019-08-19,15:30 (20:30),Tucumán,1–0,Godoy Cruz,,Estadio Monumental Presidente José Fierr...,Darío Herrera,Match Report,
3,Mon,2019-08-19,17:45 (22:45),Colón,2–1,Gimnasia ELP,,Estadio Brigadier General Estanislao Lóp...,Jorge Baliño,Match Report,
3,Mon,2019-08-19,20:00 (01:00),Estudiantes,3–0,Independiente,,Estadio Ciudad de La Plata,Néstor Pitana,Match Report,
,,,,,,,,,,,
4,Fri,2019-08-23,21:00 (02:00),Arsenal,0–2,San Lorenzo,,Estadio Julio Humberto Grondona,Facundo Tello,Match Report,
4,Sat,2019-08-24,13:15 (18:15),Gimnasia ELP,0–1,Defensa y Just,,Estadio Juan Carmelo Zerillo,Andrés Merlos,Match Report,
4,Sat,2019-08-24,15:30 (20:30),Vélez Sarsf,3–1,Newell's OB,,Estadio José Amalfitani,Germán Delfino,Match Report,
4,Sat,2019-08-24,17:45 (22:45),Rosario Cent,1–1,Patronato,,Estadio Dr. Lisandro de la Torre,Hernán Mastrángelo,Match Report,
4,Sat,2019-08-24,20:00 (01:00),Independiente,2–0,Colón,,Estadio Libertadores de América,Diego Abal,Match Report,
4,Sun,2019-08-25,11:00 (16:00),Godoy Cruz,2–1,Estudiantes,,Estadio Malvinas Argentinas,Pablo Echavarría,Match Report,
4,Sun,2019-08-25,13:15 (18:15),CA Unión,1–2,Lanús,,Estadio 15 de Abril,Fernando Espinoza,Match Report,
