Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-07-26,20:45,Rapid Wien,0–2,RB Salzburg,24200,Allianz Stadion,Alexander Harkam,Match Report,
1,Sat,2019-07-27,17:00,WSG Wattens,3–1,Austria Wien,4600,Tivoli Stadion Tirol,Christopher Jäger,Match Report,
1,Sat,2019-07-27,17:00,Admira,0–3,Wolfsberger AC,1900,BSFZ-Arena,Christian-Petru Ciochirca,Match Report,
1,Sun,2019-07-28,17:00,Sturm Graz,3–0,St. Pölten,7194,Merkur Arena,Walter Altmann,Match Report,
1,Sun,2019-07-28,17:00,Mattersburg,2–1,Hartberg,2850,Pappelstadion,Manuel Schüttengruber,Match Report,
1,Sun,2019-07-28,17:00,LASK Linz,2–0,SCR Altach,5333,TGW Arena,Harald Lechner,Match Report,
,,,,,,,,,,,
2,Sat,2019-08-03,17:00,Hartberg,4–1,Admira,2624,PROfertil ARENA,Josef Spurny,Match Report,
2,Sat,2019-08-03,17:00,SCR Altach,3–2,WSG Wattens,4038,CASHPOINT Arena,Gerhard Grobelnik,Match Report,
2,Sat,2019-08-03,17:00,Austria Wien,0–3,LASK Linz,9350,Generali Arena,Sebastian Gishamer,Match Report,
2,Sun,2019-08-04,17:00,RB Salzburg,4–1,Mattersburg,8938,Red Bull Arena,Andreas Heiß,Match Report,
2,Sun,2019-08-04,17:00,St. Pölten,2–2,Rapid Wien,7582,NV Arena,Christopher Jäger,Match Report,
2,Sun,2019-08-04,17:00,Wolfsberger AC,0–1,Sturm Graz,7231,Lavanttal-Arena,Dieter Muckenhammer,Match Report,
,,,,,,,,,,,
3,Sat,2019-08-10,17:00,RB Salzburg,5–2,Wolfsberger AC,8874,Red Bull Arena,Julian Weinberger,Match Report,
3,Sat,2019-08-10,17:00,Admira,0–1,LASK Linz,2037,BSFZ-Arena,Robert Schörgenhofer,Match Report,
3,Sat,2019-08-10,17:00,Rapid Wien,2–1,SCR Altach,12800,Allianz Stadion,Dieter Muckenhammer,Match Report,
3,Sun,2019-08-11,17:00,WSG Wattens,1–1,St. Pölten,3050,Tivoli Stadion Tirol,Manuel Schüttengruber,Match Report,
3,Sun,2019-08-11,17:00,Mattersburg,1–5,Austria Wien,4100,Pappelstadion,Stefan Ebner,Match Report,
3,Sun,2019-08-11,17:00,Hartberg,1–0,Sturm Graz,5420,PROfertil ARENA,Harald Lechner,Match Report,
,,,,,,,,,,,
4,Sat,2019-08-17,17:00,St. Pölten,0–6,RB Salzburg,4200,NV Arena,Dieter Muckenhammer,Match Report,
4,Sat,2019-08-17,17:00,Wolfsberger AC,5–0,Mattersburg,3389,Lavanttal-Arena,Christian-Petru Ciochirca,Match Report,
4,Sat,2019-08-17,17:00,LASK Linz,1–1,WSG Wattens,5338,TGW Arena,Felix Ouschan,Match Report,
4,Sun,2019-08-18,17:00,SCR Altach,3–3,Hartberg,3812,CASHPOINT Arena,Andreas Heiß,Match Report,
4,Sun,2019-08-18,17:00,Sturm Graz,0–1,Rapid Wien,14532,Merkur Arena,Oliver Drachta,Match Report,
4,Sun,2019-08-18,17:00,Austria Wien,1–1,Admira,7215,Generali Arena,Walter Altmann,Match Report,
,,,,,,,,,,,
5,Sat,2019-08-24,17:00,Rapid Wien,1–2,LASK Linz,19400,Allianz Stadion,Christian-Petru Ciochirca,Match Report,
5,Sat,2019-08-24,17:00,Mattersburg,0–1,St. Pölten,1700,Pappelstadion,Robert Schörgenhofer,Match Report,
5,Sat,2019-08-24,17:00,Wolfsberger AC,5–2,SCR Altach,3345,Lavanttal-Arena,Stefan Ebner,Match Report,
5,Sun,2019-08-25,17:00,Hartberg,2–2,Austria Wien,4237,PROfertil ARENA,Dieter Muckenhammer,Match Report,
5,Sun,2019-08-25,17:00,Sturm Graz,2–0,WSG Wattens,7512,Merkur Arena,Julian Weinberger,Match Report,
5,Sun,2019-08-25,17:00,RB Salzburg,5–0,Admira,10648,Red Bull Arena,Harald Lechner,Match Report,
,,,,,,,,,,,
6,Sat,2019-08-31,17:00,Admira,1–3,Mattersburg,1905,BSFZ-Arena,Christopher Jäger,Match Report,
6,Sat,2019-08-31,17:00,WSG Wattens,1–5,RB Salzburg,5400,Tivoli Stadion Tirol,Rene Eisner,Match Report,
6,Sat,2019-08-31,17:00,LASK Linz,0–1,Wolfsberger AC,5353,TGW Arena,Sebastian Gishamer,Match Report,
6,Sun,2019-09-01,17:00,St. Pölten,1–3,Hartberg,3402,NV Arena,Julian Weinberger,Match Report,
6,Sun,2019-09-01,17:00,Austria Wien,1–3,Rapid Wien,14615,Generali Arena,Harald Lechner,Match Report,
6,Sun,2019-09-01,17:00,SCR Altach,1–2,Sturm Graz,5042,CASHPOINT Arena,Markus Hameter,Match Report,
,,,,,,,,,,,
7,Sat,2019-09-14,17:00,RB Salzburg,,Hartberg,,Red Bull Arena,,,
7,Sat,2019-09-14,17:00,Mattersburg,,WSG Wattens,,Pappelstadion,,,
7,Sat,2019-09-14,17:00,Sturm Graz,,LASK Linz,,Merkur Arena,,,
7,Sun,2019-09-15,14:30,SCR Altach,,St. Pölten,,CASHPOINT Arena,,,
7,Sun,2019-09-15,14:30,Rapid Wien,,Admira,,Allianz Stadion,,,
7,Sun,2019-09-15,17:00,Wolfsberger AC,,Austria Wien,,Lavanttal-Arena,,,
,,,,,,,,,,,
8,Sat,2019-09-21,17:00,Admira,,St. Pölten,,BSFZ-Arena,,,
8,Sat,2019-09-21,17:00,WSG Wattens,,Rapid Wien,,Tivoli Stadion Tirol,,,
8,Sat,2019-09-21,17:00,Mattersburg,,Sturm Graz,,Pappelstadion,,,
8,Sun,2019-09-22,14:30,Hartberg,,Wolfsberger AC,,PROfertil ARENA,,,
8,Sun,2019-09-22,14:30,Austria Wien,,SCR Altach,,Generali Arena,,,
8,Sun,2019-09-22,17:00,LASK Linz,,RB Salzburg,,TGW Arena,,,
,,,,,,,,,,,
9,Sat,2019-09-28,,RB Salzburg,,Austria Wien,,Red Bull Arena,,,
9,Sat,2019-09-28,,St. Pölten,,LASK Linz,,NV Arena,,,
9,Sat,2019-09-28,,Rapid Wien,,Hartberg,,Allianz Stadion,,,
9,Sat,2019-09-28,,SCR Altach,,Mattersburg,,CASHPOINT Arena,,,
9,Sat,2019-09-28,,Wolfsberger AC,,WSG Wattens,,Lavanttal-Arena,,,
9,Sat,2019-09-28,,Sturm Graz,,Admira,,Merkur Arena,,,
,,,,,,,,,,,
10,Sat,2019-10-05,,Mattersburg,,Rapid Wien,,Pappelstadion,,,
10,Sat,2019-10-05,,RB Salzburg,,SCR Altach,,Red Bull Arena,,,
10,Sat,2019-10-05,,Admira,,WSG Wattens,,BSFZ-Arena,,,
10,Sat,2019-10-05,,Wolfsberger AC,,St. Pölten,,Lavanttal-Arena,,,
10,Sat,2019-10-05,,Austria Wien,,Sturm Graz,,Generali Arena,,,
10,Sat,2019-10-05,,Hartberg,,LASK Linz,,PROfertil ARENA,,,
,,,,,,,,,,,
11,Sat,2019-10-19,,Rapid Wien,,Wolfsberger AC,,Allianz Stadion,,,
11,Sat,2019-10-19,,St. Pölten,,Austria Wien,,NV Arena,,,
11,Sat,2019-10-19,,WSG Wattens,,Hartberg,,Tivoli Stadion Tirol,,,
11,Sat,2019-10-19,,LASK Linz,,Mattersburg,,TGW Arena,,,
11,Sat,2019-10-19,,Sturm Graz,,RB Salzburg,,Merkur Arena,,,
11,Sat,2019-10-19,,SCR Altach,,Admira,,CASHPOINT Arena,,,
,,,,,,,,,,,
12,Sat,2019-10-26,,Austria Wien,,WSG Wattens,,Generali Arena,,,
12,Sat,2019-10-26,,Hartberg,,Mattersburg,,PROfertil ARENA,,,
12,Sat,2019-10-26,,SCR Altach,,LASK Linz,,CASHPOINT Arena,,,
12,Sat,2019-10-26,,Wolfsberger AC,,Admira,,Lavanttal-Arena,,,
12,Sat,2019-10-26,,St. Pölten,,Sturm Graz,,NV Arena,,,
12,Sat,2019-10-26,,RB Salzburg,,Rapid Wien,,Red Bull Arena,,,
,,,,,,,,,,,
13,Sat,2019-11-02,,Sturm Graz,,Wolfsberger AC,,Merkur Arena,,,
13,Sat,2019-11-02,,Rapid Wien,,St. Pölten,,Allianz Stadion,,,
13,Sat,2019-11-02,,WSG Wattens,,SCR Altach,,Tivoli Stadion Tirol,,,
13,Sat,2019-11-02,,Mattersburg,,RB Salzburg,,Pappelstadion,,,
13,Sat,2019-11-02,,LASK Linz,,Austria Wien,,TGW Arena,,,
13,Sat,2019-11-02,,Admira,,Hartberg,,BSFZ-Arena,,,
,,,,,,,,,,,
14,Sat,2019-11-09,,SCR Altach,,Rapid Wien,,CASHPOINT Arena,,,
14,Sat,2019-11-09,,LASK Linz,,Admira,,TGW Arena,,,
14,Sat,2019-11-09,,Sturm Graz,,Hartberg,,Merkur Arena,,,
14,Sat,2019-11-09,,St. Pölten,,WSG Wattens,,NV Arena,,,
14,Sat,2019-11-09,,Wolfsberger AC,,RB Salzburg,,Lavanttal-Arena,,,
14,Sat,2019-11-09,,Austria Wien,,Mattersburg,,Generali Arena,,,
,,,,,,,,,,,
15,Sat,2019-11-23,,RB Salzburg,,St. Pölten,,Red Bull Arena,,,
15,Sat,2019-11-23,,Mattersburg,,Wolfsberger AC,,Pappelstadion,,,
15,Sat,2019-11-23,,Admira,,Austria Wien,,BSFZ-Arena,,,
15,Sat,2019-11-23,,WSG Wattens,,LASK Linz,,Tivoli Stadion Tirol,,,
15,Sat,2019-11-23,,Hartberg,,SCR Altach,,PROfertil ARENA,,,
15,Sat,2019-11-23,,Rapid Wien,,Sturm Graz,,Allianz Stadion,,,
,,,,,,,,,,,
16,Sat,2019-11-30,,LASK Linz,,Rapid Wien,,TGW Arena,,,
16,Sat,2019-11-30,,St. Pölten,,Mattersburg,,NV Arena,,,
16,Sat,2019-11-30,,SCR Altach,,Wolfsberger AC,,CASHPOINT Arena,,,
16,Sat,2019-11-30,,Admira,,RB Salzburg,,BSFZ-Arena,,,
16,Sat,2019-11-30,,WSG Wattens,,Sturm Graz,,Tivoli Stadion Tirol,,,
16,Sat,2019-11-30,,Austria Wien,,Hartberg,,Generali Arena,,,
,,,,,,,,,,,
17,Sat,2019-12-07,,RB Salzburg,,WSG Wattens,,Red Bull Arena,,,
17,Sat,2019-12-07,,Hartberg,,St. Pölten,,PROfertil ARENA,,,
17,Sat,2019-12-07,,Sturm Graz,,SCR Altach,,Merkur Arena,,,
17,Sat,2019-12-07,,Mattersburg,,Admira,,Pappelstadion,,,
17,Sat,2019-12-07,,Wolfsberger AC,,LASK Linz,,Lavanttal-Arena,,,
17,Sat,2019-12-07,,Rapid Wien,,Austria Wien,,Allianz Stadion,,,
,,,,,,,,,,,
18,Sat,2019-12-14,,Admira,,Rapid Wien,,BSFZ-Arena,,,
18,Sat,2019-12-14,,Austria Wien,,Wolfsberger AC,,Generali Arena,,,
18,Sat,2019-12-14,,WSG Wattens,,Mattersburg,,Tivoli Stadion Tirol,,,
18,Sat,2019-12-14,,Hartberg,,RB Salzburg,,PROfertil ARENA,,,
18,Sat,2019-12-14,,St. Pölten,,SCR Altach,,NV Arena,,,
18,Sat,2019-12-14,,LASK Linz,,Sturm Graz,,TGW Arena,,,
,,,,,,,,,,,
19,Sat,2020-02-15,,Rapid Wien,,WSG Wattens,,Allianz Stadion,,,
19,Sat,2020-02-15,,Sturm Graz,,Mattersburg,,Merkur Arena,,,
19,Sat,2020-02-15,,St. Pölten,,Admira,,NV Arena,,,
19,Sat,2020-02-15,,SCR Altach,,Austria Wien,,CASHPOINT Arena,,,
19,Sat,2020-02-15,,Wolfsberger AC,,Hartberg,,Lavanttal-Arena,,,
19,Sat,2020-02-15,,RB Salzburg,,LASK Linz,,Red Bull Arena,,,
,,,,,,,,,,,
20,Sat,2020-02-22,,Austria Wien,,RB Salzburg,,Generali Arena,,,
20,Sat,2020-02-22,,LASK Linz,,St. Pölten,,TGW Arena,,,
20,Sat,2020-02-22,,Hartberg,,Rapid Wien,,PROfertil ARENA,,,
20,Sat,2020-02-22,,Mattersburg,,SCR Altach,,Pappelstadion,,,
20,Sat,2020-02-22,,WSG Wattens,,Wolfsberger AC,,Tivoli Stadion Tirol,,,
20,Sat,2020-02-22,,Admira,,Sturm Graz,,BSFZ-Arena,,,
,,,,,,,,,,,
21,Sat,2020-02-29,,Rapid Wien,,Mattersburg,,Allianz Stadion,,,
21,Sat,2020-02-29,,LASK Linz,,Hartberg,,TGW Arena,,,
21,Sat,2020-02-29,,WSG Wattens,,Admira,,Tivoli Stadion Tirol,,,
21,Sat,2020-02-29,,Sturm Graz,,Austria Wien,,Merkur Arena,,,
21,Sat,2020-02-29,,SCR Altach,,RB Salzburg,,CASHPOINT Arena,,,
21,Sat,2020-02-29,,St. Pölten,,Wolfsberger AC,,NV Arena,,,
,,,,,,,,,,,
