Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-07-26,20:30,Genk,2–1,Kortrijk,16120,Luminus Arena,Erik Lambrechts,Match Report,
1,Sat,2019-07-27,18:00,Cercle Brugge,0–2,Standard Liège,4211,Jan Breydelstadion,Alexandre Boucaut,Match Report,
1,Sat,2019-07-27,20:00,Sint-Truiden,0–1,Excel Mouscron,4338,Stayen,Lawrence Visser,Match Report,
1,Sat,2019-07-27,20:00,Zulte Waregem,0–2,Mechelen,5503,Regenboogstadion,Jonathan Lardot,Match Report,
1,Sat,2019-07-27,20:30,Waasland-Bev,1–3,Club Brugge,4592,Freethiel-Stadion,Nathan Verboomen,Match Report,
1,Sun,2019-07-28,14:30,Anderlecht,1–2,Oostende,14482,Stade Constant Vanden Stock,Bram Van Driessche,Match Report,
1,Sun,2019-07-28,18:00,Charleroi,1–1,Gent,8760,Stade du Pays de Charleroi,Nicolas Laforge,Match Report,
1,Sun,2019-07-28,20:00,Eupen,1–4,Antwerp,2811,Stadion am Kehrweg,Wesley Alen,Match Report,
,,,,,,,,,,,
2,Fri,2019-08-02,20:30,Club Brugge,6–0,Sint-Truiden,20942,Jan Breydelstadion,Nicolas Laforge,Match Report,
2,Sat,2019-08-03,18:00,Standard Liège,4–0,Zulte Waregem,19283,Stade Maurice Dufrasne,Nathan Verboomen,Match Report,
2,Sat,2019-08-03,20:00,Kortrijk,1–1,Charleroi,4417,Guldensporenstadion,Jan Boterberg,Match Report,
2,Sat,2019-08-03,20:00,Oostende,3–1,Cercle Brugge,5487,Versluys Arena,Kevin Van Damme,Match Report,
2,Sat,2019-08-03,20:30,Mechelen,3–1,Genk,15072,AFAS-stadion Achter de Kazerne,Bram Van Driessche,Match Report,
2,Sun,2019-08-04,14:30,Gent,6–1,Eupen,14189,GHELAMCO-arena,Lawrence Visser,Match Report,
2,Sun,2019-08-04,18:00,Excel Mouscron,0–0,Anderlecht,8257,Stade Le Canonnier,Christof Dierick,Match Report,
2,Sun,2019-08-04,20:00,Antwerp,4–1,Waasland-Bev,12762,Bosuilstadion,Alexandre Boucaut,Match Report,
,,,,,,,,,,,
3,Fri,2019-08-09,20:30,Anderlecht,0–0,Mechelen,16603,Stade Constant Vanden Stock,Lawrence Visser,Match Report,
3,Sat,2019-08-10,18:00,Oostende,0–2,Club Brugge,6753,Versluys Arena,Erik Lambrechts,Match Report,
3,Sat,2019-08-10,20:00,Eupen,1–1,Waasland-Bev,2154,Stadion am Kehrweg,Jasper Vergoote,Match Report,
3,Sat,2019-08-10,20:00,Cercle Brugge,1–3,Kortrijk,4032,Jan Breydelstadion,Bert Put,Match Report,
3,Sat,2019-08-10,20:30,Genk,0–2,Zulte Waregem,19711,Luminus Arena,Lothar D'Hondt,Match Report,
3,Sun,2019-08-11,14:30,Sint-Truiden,2–1,Standard Liège,6487,Stayen,Jonathan Lardot,Match Report,
3,Sun,2019-08-11,18:00,Charleroi,2–1,Antwerp,9868,Stade du Pays de Charleroi,Nathan Verboomen,Match Report,
3,Sun,2019-08-11,20:00,Excel Mouscron,2–1,Gent,3753,Stade Le Canonnier,Jan Boterberg,Match Report,
,,,,,,,,,,,
4,Fri,2019-08-16,20:30,Club Brugge,0–0,Eupen,22185,Jan Breydelstadion,Bram Van Driessche,Match Report,
4,Sat,2019-08-17,18:00,Kortrijk,4–2,Anderlecht,8326,Guldensporenstadion,Erik Lambrechts,Match Report,
4,Sat,2019-08-17,20:00,Mechelen,3–1,Cercle Brugge,14513,AFAS-stadion Achter de Kazerne,Wesli De Cremer,Match Report,
4,Sat,2019-08-17,20:30,Waasland-Bev,0–4,Genk,3421,Freethiel-Stadion,Kevin Van Damme,Match Report,
4,Sun,2019-08-18,14:30,Standard Liège,4–1,Excel Mouscron,19164,Stade Maurice Dufrasne,Nicolas Laforge,Match Report,
4,Sun,2019-08-18,18:00,Antwerp,2–0,Sint-Truiden,12828,Bosuilstadion,Christof Dierick,Match Report,
4,Sun,2019-08-18,20:00,Gent,2–0,Oostende,14411,GHELAMCO-arena,Wesley Alen,Match Report,
4,Mon,2019-08-19,20:30,Zulte Waregem,3–1,Charleroi,6058,Regenboogstadion,Alexandre Boucaut,Match Report,
,,,,,,,,,,,
5,Fri,2019-08-23,20:30,Genk,1–0,Anderlecht,22105,Luminus Arena,Lawrence Visser,Match Report,
5,Sat,2019-08-24,18:00,Charleroi,,Club Brugge,,Stade du Pays de Charleroi,,,Match Postponed
5,Sat,2019-08-24,20:00,Cercle Brugge,1–0,Waasland-Bev,4139,Jan Breydelstadion,Lothar D'Hondt,Match Report,
5,Sat,2019-08-24,20:30,Sint-Truiden,0–0,Zulte Waregem,4789,Stayen,Nathan Verboomen,Match Report,
5,Sat,2019-08-24,20:30,Oostende,2–1,Mechelen,5703,Versluys Arena,Bert Put,Match Report,
5,Sun,2019-08-25,18:00,Standard Liège,2–1,Kortrijk,26282,Stade Maurice Dufrasne,Alexandre Boucaut,Match Report,
