Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2019-04-27,16:00 (21:00),São Paulo,2–0,Botafogo (RJ),26533,Estádio do Morumbi,Caio Max Augusto Vieira,Match Report,
1,Sat,2019-04-27,19:00 (00:00),Chapecoense,2–0,Internacional,8231,Arena Condá,Raphael Claus,Match Report,
1,Sat,2019-04-27,19:00 (00:00),Atlético Mineiro,2–1,Avaí,10531,Estádio Raimundo Sampaio,Rodolpho Toski Marques,Match Report,
1,Sat,2019-04-27,21:00 (02:00),Flamengo,3–1,Cruzeiro,35016,Estadio Jornalista Mário Filho,Anderson Daronco,Match Report,
1,Sun,2019-04-28,11:00 (16:00),Grêmio,1–2,Santos,32318,Arena do Grêmio,Bruno Arleu de Araujo,Match Report,
1,Sun,2019-04-28,16:00 (21:00),Ceará,4–0,CSA,12550,Estádio Castelão,Adriano Milevski,Match Report,
1,Sun,2019-04-28,16:00 (21:00),Athl Paranaense,4–1,Vasco da Gama,12275,Estádio Joaquim Américo Guimarães,Luiz Flávio de Oliveira,Match Report,
1,Sun,2019-04-28,16:00 (21:00),Bahia,3–2,Corinthians,29294,Itaipava Arena Fonte Nova,Wilton Sampaio,Match Report,
1,Sun,2019-04-28,19:00 (00:00),Palmeiras,4–0,Fortaleza,26701,Allianz Parque,Braulio da Silva Machado,Match Report,
1,Sun,2019-04-28,19:00 (00:00),Fluminense,0–1,Goiás,17420,Estadio Jornalista Mário Filho,Dewson Fernando Freitas da Silva,Match Report,
,,,,,,,,,,,
2,Wed,2019-05-01,16:00 (21:00),CSA,1–1,Palmeiras,15735,Estádio Rei Pelé,Caio Max Augusto Vieira,Match Report,
2,Wed,2019-05-01,16:00 (21:00),Corinthians,1–0,Chapecoense,30442,Arena Corinthians,Ricardo Marques Ribeiro,Match Report,
2,Wed,2019-05-01,16:00 (21:00),Internacional,2–1,Flamengo,37001,Estádio José Pinheiro Borba,Flavio Rodrigues De Souza,Match Report,
2,Wed,2019-05-01,19:15 (00:15),Cruzeiro,1–0,Ceará,22677,Estádio Governador Magalhães Pinto,Wagner Reway,Match Report,
2,Wed,2019-05-01,19:15 (00:15),Avaí,1–1,Grêmio,12181,Estádio Aderbal Ramos da Silva,Wagner do Nascimento Magalhaes,Match Report,
2,Wed,2019-05-01,21:30 (02:30),Vasco da Gama,1–2,Atlético Mineiro,6745,Estádio Club de Regatas Vasco da Gama,Raphael Claus,Match Report,
2,Wed,2019-05-01,21:30 (02:30),Fortaleza,2–1,Athl Paranaense,20578,Estádio Castelão,Marcelo de Lima Henrique,Match Report,
2,Wed,2019-05-01,21:30 (02:30),Goiás,1–2,São Paulo,29644,Estádio de Hailé Pinheiro,Rafael Traci,Match Report,
2,Thu,2019-05-02,19:15 (00:15),Santos,2–1,Fluminense,10564,Estádio Urbano Caldeira,Wilton Sampaio,Match Report,
2,Thu,2019-05-02,20:00 (01:00),Botafogo (RJ),3–2,Bahia,7568,Estádio Nilton Santos,Luiz Flávio de Oliveira,Match Report,
,,,,,,,,,,,
3,Sat,2019-05-04,19:00 (00:00),Palmeiras,1–0,Internacional,31549,Allianz Parque,Wagner do Nascimento Magalhaes,Match Report,
3,Sat,2019-05-04,19:00 (00:00),Vasco da Gama,1–1,Corinthians,25779,Estádio Club de Regatas Vasco da Gama,Rodrigo D'Alonso Ferreira,Match Report,
3,Sat,2019-05-04,21:00 (02:00),Ceará,1–2,Atlético Mineiro,16815,Estádio Castelão,Flavio Rodrigues De Souza,Match Report,
3,Sun,2019-05-05,11:00 (16:00),Chapecoense,1–1,Athl Paranaense,6433,Arena Condá,Vinicius Gonçalves Dias Araujo,Match Report,
3,Sun,2019-05-05,16:00 (21:00),Cruzeiro,2–1,Goiás,19735,Estádio Governador Magalhães Pinto,Rodrigo Carvalhaes de Miranda,Match Report,
3,Sun,2019-05-05,16:00 (21:00),CSA,0–0,Santos,10313,Estádio Rei Pelé,Rodolpho Toski Marques,Match Report,
3,Sun,2019-05-05,16:00 (21:00),São Paulo,1–1,Flamengo,38749,Estádio do Morumbi,Ricardo Marques Ribeiro,Match Report,
3,Sun,2019-05-05,16:00 (21:00),Botafogo (RJ),1–0,Fortaleza,13749,Estádio Nilton Santos,Wagner Reway,Match Report,
3,Sun,2019-05-05,19:00 (00:00),Bahia,1–0,Avaí,18673,Itaipava Arena Fonte Nova,Bruno Arleu de Araujo,Match Report,
3,Sun,2019-05-05,19:00 (00:00),Grêmio,4–5,Fluminense,8390,Arena do Grêmio,Raphael Claus,Match Report,
,,,,,,,,,,,
4,Sat,2019-05-11,16:00 (21:00),Fluminense,0–1,Botafogo (RJ),24600,Estadio Jornalista Mário Filho,Marcelo Aparecido Ribeiro De Souza,Match Report,
4,Sat,2019-05-11,19:00 (00:00),Corinthians,0–0,Grêmio,36360,Arena Corinthians,Marcelo de Lima Henrique,Match Report,
4,Sat,2019-05-11,21:00 (02:00),Goiás,2–1,Ceará,9493,Estádio de Hailé Pinheiro,Caio Max Augusto Vieira,Match Report,
4,Sun,2019-05-12,11:00 (16:00),Flamengo,2–1,Chapecoense,61023,Estadio Jornalista Mário Filho,Jean Pierre Goncalves Lima,Match Report,
4,Sun,2019-05-12,16:00 (21:00),Atlético Mineiro,0–2,Palmeiras,24368,Estádio Raimundo Sampaio,Anderson Daronco,Match Report,
4,Sun,2019-05-12,16:00 (21:00),Santos,3–0,Vasco da Gama,12952,Estádio Urbano Caldeira,Paulo Roberto Alves Júnior,Match Report,
4,Sun,2019-05-12,16:00 (21:00),Internacional,3–1,Cruzeiro,21483,Estádio José Pinheiro Borba,Raphael Claus,Match Report,
4,Sun,2019-05-12,19:00 (00:00),Fortaleza,0–1,São Paulo,42955,Estádio Castelão,Wilton Sampaio,Match Report,
4,Sun,2019-05-12,19:00 (00:00),Avaí,0–0,CSA,4852,Estádio Aderbal Ramos da Silva,Dewson Fernando Freitas da Silva,Match Report,
4,Sun,2019-05-12,19:00 (00:00),Athl Paranaense,1–0,Bahia,10510,Estádio Joaquim Américo Guimarães,Savio Pereira,Match Report,
,,,,,,,,,,,
