Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-07-19,20:00,Sion,1–4,Basel,11000,Stade de Tourbillon,Sandro Schärer,Match Report,
1,Sat,2019-07-20,19:00,St. Gallen,0–2,Luzern,11672,Kybunpark,Lionel Tschudi,Match Report,
1,Sat,2019-07-20,19:00,Thun,2–2,Neuchâtel Xam,5111,Stockhorn Arena,Alessandro Dudic,Match Report,
1,Sun,2019-07-21,16:00,Young Boys,1–1,Servette FC,25110,Stade de Suisse Wankdorf Bern,,Match Report,
1,Sun,2019-07-21,16:00,Zürich,0–4,Lugano,9430,Stadion Letzigrund,Alain Bieri,Match Report,
,,,,,,,,,,,
2,Sat,2019-07-27,19:00,Servette FC,0–0,Sion,11142,Stade de Genève,Lionel Tschudi,Match Report,
2,Sat,2019-07-27,19:00,Basel,1–2,St. Gallen,21932,St. Jakob-Park,Alain Bieri,Match Report,
2,Sun,2019-07-28,16:00,Neuchâtel Xam,0–1,Young Boys,8406,Stade de la Maladière,Nikolaj Hänni,Match Report,
2,Sun,2019-07-28,16:00,Lugano,0–0,Thun,4334,Stadio di Cornaredo,Sandro Schärer,Match Report,
2,Sun,2019-07-28,16:00,Luzern,0–0,Zürich,9917,swissporarena,Stephan Klossner,Match Report,
,,,,,,,,,,,
3,Sat,2019-08-03,19:00,Sion,3–1,Zürich,9800,Stade de Tourbillon,Nikolaj Hänni,Match Report,
3,Sat,2019-08-03,19:00,Thun,2–3,Basel,6266,Stockhorn Arena,Stephan Klossner,Match Report,
3,Sun,2019-08-04,16:00,Young Boys,2–0,Lugano,24091,Stade de Suisse Wankdorf Bern,Fedayi San,Match Report,
3,Sun,2019-08-04,16:00,Neuchâtel Xam,1–1,St. Gallen,5484,Stade de la Maladière,Lukas Fähndrich,Match Report,
3,Sun,2019-08-04,16:00,Servette FC,1–0,Luzern,6059,Stade de Genève,Sandro Schärer,Match Report,
,,,,,,,,,,,
4,Sat,2019-08-10,19:00,St. Gallen,2–3,Young Boys,12594,Kybunpark,Urs Schnyder,Match Report,
4,Sat,2019-08-10,19:00,Basel,3–1,Servette FC,21532,St. Jakob-Park,Alessandro Dudic,Match Report,
4,Sun,2019-08-11,16:00,Zürich,2–2,Neuchâtel Xam,9619,Stadion Letzigrund,Adrien Jaccottet,Match Report,
4,Sun,2019-08-11,16:00,Lugano,0–1,Sion,4025,Stadio di Cornaredo,Stephan Klossner,Match Report,
4,Sun,2019-08-11,16:00,Luzern,0–2,Thun,9639,swissporarena,Alain Bieri,Match Report,
,,,,,,,,,,,
6,Wed,2019-08-14,19:00,Zürich,2–1,St. Gallen,9112,Stadion Letzigrund,Fedayi San,Match Report,
,,,,,,,,,,,
5,Sat,2019-08-24,19:00,Young Boys,4–0,Zürich,24442,Stade de Suisse Wankdorf Bern,Stephan Klossner,Match Report,
5,Sat,2019-08-24,19:00,Neuchâtel Xam,0–3,Basel,6364,Stade de la Maladière,Fedayi San,Match Report,
5,Sun,2019-08-25,16:00,Thun,0–4,Servette FC,6685,Stockhorn Arena,Lukas Fähndrich,Match Report,
5,Sun,2019-08-25,16:00,Sion,2–1,Luzern,9300,Stade de Tourbillon,Adrien Jaccottet,Match Report,
5,Sun,2019-08-25,16:00,St. Gallen,3–2,Lugano,10578,Kybunpark,Sandro Schärer,Match Report,
,,,,,,,,,,,
6,Sat,2019-08-31,19:00,Servette FC,2–2,Neuchâtel Xam,10012,Stade de Genève,Nikolaj Hänni,Match Report,
6,Sun,2019-09-01,16:00,Basel,2–1,Lugano,21912,St. Jakob-Park,Lukas Fähndrich,Match Report,
6,Sun,2019-09-01,16:00,Thun,0–1,Sion,5003,Stockhorn Arena,Urs Schnyder,Match Report,
6,Sun,2019-09-01,16:00,Luzern,2–2,Young Boys,10911,swissporarena,Lionel Tschudi,Match Report,
,,,,,,,,,,,
7,Sat,2019-09-21,19:00,Neuchâtel Xam,,Sion,,Stade de la Maladière,,,
7,Sat,2019-09-21,19:00,St. Gallen,,Servette FC,,Kybunpark,,,
7,Sun,2019-09-22,16:00,Lugano,,Luzern,,Stadio di Cornaredo,,,
7,Sun,2019-09-22,16:00,Zürich,,Thun,,Stadion Letzigrund,,,
7,Sun,2019-09-22,16:00,Young Boys,,Basel,,Stade de Suisse Wankdorf Bern,,,
,,,,,,,,,,,
