Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,1,Tue,2019-09-17,18:55,Lyon fr,,ru Zenit,,Groupama Stadium,,,
Group Stage,1,Tue,2019-09-17,18:55,Inter it,,cz Slavia Prague,,Stadio Giuseppe Meazza,,,
Group Stage,1,Tue,2019-09-17,20:00 (21:00),Chelsea eng,,es Valencia,,Stamford Bridge,,,
Group Stage,1,Tue,2019-09-17,20:00 (21:00),Benfica pt,,de RB Leipzig,,Estádio do Sport Lisboa e Benfica,,,
Group Stage,1,Tue,2019-09-17,21:00,Dortmund de,,es Barcelona,,Signal Iduna Park,,,
Group Stage,1,Tue,2019-09-17,21:00,RB Salzburg at,,be Genk,,Red Bull Arena,,,
Group Stage,1,Tue,2019-09-17,21:00,Ajax nl,,fr Lille,,Johan Cruyff ArenA,,,
Group Stage,1,Tue,2019-09-17,21:00,Napoli it,,eng Liverpool,,Stadio San Paolo,,,
Group Stage,1,Wed,2019-09-18,18:55,Club Brugge be,,tr Galatasaray,,Jan Breydelstadion,,,
Group Stage,1,Wed,2019-09-18,19:55 (18:55),Olympiacos gr,,eng Tottenham,,Stadio Georgios Karaiskáki,,,
Group Stage,1,Wed,2019-09-18,21:00,Atlético Madrid es,,it Juventus,,Estadio Wanda Metropolitano,,,
Group Stage,1,Wed,2019-09-18,21:00,Paris S-G fr,,es Real Madrid,,Parc des Princes,,,
Group Stage,1,Wed,2019-09-18,21:00,Bayern Munich de,,rs Red Star,,Allianz Arena,,,
Group Stage,1,Wed,2019-09-18,21:00,Dinamo Zagreb hr,,it Atalanta,,Stadion Maksimir,,,
Group Stage,1,Wed,2019-09-18,21:00,Bayer de,,ru Loko Moscow,,BayArena,,,
Group Stage,1,Wed,2019-09-18,22:00 (21:00),Shakhtar ua,,eng Manchester City,,Oblasny SportKomplex Metalist,,,
,,,,,,,,,,,,
Group Stage,2,Tue,2019-10-01,18:55,Atalanta it,,ua Shakhtar,,Stadio Giuseppe Meazza,,,
Group Stage,2,Tue,2019-10-01,18:55,Real Madrid es,,be Club Brugge,,Estadio Santiago Bernabéu,,,
Group Stage,2,Tue,2019-10-01,20:00 (21:00),Manchester City eng,,hr Dinamo Zagreb,,Etihad Stadium,,,
Group Stage,2,Tue,2019-10-01,20:00 (21:00),Tottenham eng,,de Bayern Munich,,Tottenham Hotspur Stadium,,,
Group Stage,2,Tue,2019-10-01,21:00,Juventus it,,de Bayer,,Allianz Stadium,,,
Group Stage,2,Tue,2019-10-01,21:00,Red Star rs,,gr Olympiacos,,Stadion Rajko Mitić,,,
Group Stage,2,Tue,2019-10-01,22:00 (21:00),Loko Moscow ru,,es Atlético Madrid,,RZD Arena,,,
Group Stage,2,Tue,2019-10-01,22:00 (21:00),Galatasaray tr,,fr Paris S-G,,Türk Telekom Arena,,,
Group Stage,2,Wed,2019-10-02,18:55,Genk be,,it Napoli,,Luminus Arena,,,
Group Stage,2,Wed,2019-10-02,18:55,Slavia Prague cz,,de Dortmund,,Sinobo Stadium,,,
Group Stage,2,Wed,2019-10-02,20:00 (21:00),Liverpool eng,,at RB Salzburg,,Anfield,,,
Group Stage,2,Wed,2019-10-02,21:00,Barcelona es,,it Inter,,Camp Nou,,,
Group Stage,2,Wed,2019-10-02,21:00,RB Leipzig de,,fr Lyon,,Red Bull Arena,,,
Group Stage,2,Wed,2019-10-02,21:00,Lille fr,,eng Chelsea,,Stade Pierre-Mauroy,,,
Group Stage,2,Wed,2019-10-02,21:00,Valencia es,,nl Ajax,,Estadio de Mestalla,,,
Group Stage,2,Wed,2019-10-02,22:00 (21:00),Zenit ru,,pt Benfica,,Gazprom Arena,,,
,,,,,,,,,,,,
Group Stage,3,Tue,2019-10-22,18:55,Atlético Madrid es,,de Bayer,,Estadio Wanda Metropolitano,,,
Group Stage,3,Tue,2019-10-22,19:55 (18:55),Shakhtar ua,,hr Dinamo Zagreb,,Oblasny SportKomplex Metalist,,,
Group Stage,3,Tue,2019-10-22,20:00 (21:00),Tottenham eng,,rs Red Star,,Tottenham Hotspur Stadium,,,
Group Stage,3,Tue,2019-10-22,20:00 (21:00),Manchester City eng,,it Atalanta,,Etihad Stadium,,,
Group Stage,3,Tue,2019-10-22,21:00,Club Brugge be,,fr Paris S-G,,Jan Breydelstadion,,,
Group Stage,3,Tue,2019-10-22,21:00,Juventus it,,ru Loko Moscow,,Allianz Stadium,,,
Group Stage,3,Tue,2019-10-22,22:00 (21:00),Olympiacos gr,,de Bayern Munich,,Stadio Georgios Karaiskáki,,,
Group Stage,3,Tue,2019-10-22,22:00 (21:00),Galatasaray tr,,es Real Madrid,,Türk Telekom Arena,,,
Group Stage,3,Wed,2019-10-23,18:55,RB Leipzig de,,ru Zenit,,Red Bull Arena,,,
Group Stage,3,Wed,2019-10-23,18:55,Ajax nl,,eng Chelsea,,Johan Cruyff ArenA,,,
Group Stage,3,Wed,2019-10-23,20:00 (21:00),Benfica pt,,fr Lyon,,Estádio do Sport Lisboa e Benfica,,,
Group Stage,3,Wed,2019-10-23,21:00,Inter it,,de Dortmund,,Stadio Giuseppe Meazza,,,
Group Stage,3,Wed,2019-10-23,21:00,RB Salzburg at,,it Napoli,,Red Bull Arena,,,
Group Stage,3,Wed,2019-10-23,21:00,Lille fr,,es Valencia,,Stade Pierre-Mauroy,,,
Group Stage,3,Wed,2019-10-23,21:00,Genk be,,eng Liverpool,,Luminus Arena,,,
Group Stage,3,Wed,2019-10-23,21:00,Slavia Prague cz,,es Barcelona,,Sinobo Stadium,,,
,,,,,,,,,,,,
Group Stage,4,Tue,2019-11-05,18:55,Barcelona es,,cz Slavia Prague,,Camp Nou,,,
Group Stage,4,Tue,2019-11-05,20:00 (21:00),Liverpool eng,,be Genk,,Anfield,,,
Group Stage,4,Tue,2019-11-05,20:00 (21:00),Chelsea eng,,nl Ajax,,Stamford Bridge,,,
Group Stage,4,Tue,2019-11-05,20:55 (18:55),Zenit ru,,de RB Leipzig,,Gazprom Arena,,,
Group Stage,4,Tue,2019-11-05,21:00,Valencia es,,fr Lille,,Estadio de Mestalla,,,
Group Stage,4,Tue,2019-11-05,21:00,Napoli it,,at RB Salzburg,,Stadio San Paolo,,,
Group Stage,4,Tue,2019-11-05,21:00,Dortmund de,,it Inter,,Signal Iduna Park,,,
Group Stage,4,Tue,2019-11-05,21:00,Lyon fr,,pt Benfica,,Groupama Stadium,,,
Group Stage,4,Wed,2019-11-06,18:55,Bayern Munich de,,gr Olympiacos,,Allianz Arena,,,
Group Stage,4,Wed,2019-11-06,20:55 (18:55),Loko Moscow ru,,it Juventus,,RZD Arena,,,
Group Stage,4,Wed,2019-11-06,21:00,Atalanta it,,eng Manchester City,,Stadio Giuseppe Meazza,,,
Group Stage,4,Wed,2019-11-06,21:00,Bayer de,,es Atlético Madrid,,BayArena,,,
Group Stage,4,Wed,2019-11-06,21:00,Paris S-G fr,,be Club Brugge,,Parc des Princes (deuxième Parc),,,
Group Stage,4,Wed,2019-11-06,21:00,Real Madrid es,,tr Galatasaray,,Estadio Santiago Bernabéu,,,
Group Stage,4,Wed,2019-11-06,21:00,Red Star rs,,eng Tottenham,,Stadion Rajko Mitić,,,
Group Stage,4,Wed,2019-11-06,21:00,Dinamo Zagreb hr,,ua Shakhtar,,Stadion Maksimir,,,
,,,,,,,,,,,,
Group Stage,5,Tue,2019-11-26,20:00 (21:00),Manchester City eng,,ua Shakhtar,,Etihad Stadium,,,
Group Stage,5,Tue,2019-11-26,20:00 (21:00),Tottenham eng,,gr Olympiacos,,Tottenham Hotspur Stadium,,,
Group Stage,5,Tue,2019-11-26,20:55 (18:55),Galatasaray tr,,be Club Brugge,,Türk Telekom Arena,,,
Group Stage,5,Tue,2019-11-26,20:55 (18:55),Loko Moscow ru,,de Bayer,,RZD Arena,,,
Group Stage,5,Tue,2019-11-26,21:00,Real Madrid es,,fr Paris S-G,,Estadio Santiago Bernabéu,,,
Group Stage,5,Tue,2019-11-26,21:00,Red Star rs,,de Bayern Munich,,Stadion Rajko Mitić,,,
Group Stage,5,Tue,2019-11-26,21:00,Juventus it,,es Atlético Madrid,,Allianz Stadium,,,
Group Stage,5,Tue,2019-11-26,21:00,Atalanta it,,hr Dinamo Zagreb,,Stadio Giuseppe Meazza,,,
Group Stage,5,Wed,2019-11-27,18:55,Valencia es,,eng Chelsea,,Estadio de Mestalla,,,
Group Stage,5,Wed,2019-11-27,20:00 (21:00),Liverpool eng,,it Napoli,,Anfield,,,
Group Stage,5,Wed,2019-11-27,20:55 (18:55),Zenit ru,,fr Lyon,,Gazprom Arena,,,
Group Stage,5,Wed,2019-11-27,21:00,Slavia Prague cz,,it Inter,,Sinobo Stadium,,,
Group Stage,5,Wed,2019-11-27,21:00,Genk be,,at RB Salzburg,,Luminus Arena,,,
Group Stage,5,Wed,2019-11-27,21:00,Lille fr,,nl Ajax,,Stade Pierre-Mauroy,,,
Group Stage,5,Wed,2019-11-27,21:00,RB Leipzig de,,pt Benfica,,Red Bull Arena,,,
Group Stage,5,Wed,2019-11-27,21:00,Barcelona es,,de Dortmund,,Camp Nou,,,
,,,,,,,,,,,,
Group Stage,6,Tue,2019-12-10,18:55,Napoli it,,be Genk,,Stadio San Paolo,,,
Group Stage,6,Tue,2019-12-10,18:55,RB Salzburg at,,eng Liverpool,,Red Bull Arena,,,
Group Stage,6,Tue,2019-12-10,20:00 (21:00),Benfica pt,,ru Zenit,,Estádio do Sport Lisboa e Benfica,,,
Group Stage,6,Tue,2019-12-10,20:00 (21:00),Chelsea eng,,fr Lille,,Stamford Bridge,,,
Group Stage,6,Tue,2019-12-10,21:00,Inter it,,es Barcelona,,Stadio Giuseppe Meazza,,,
Group Stage,6,Tue,2019-12-10,21:00,Lyon fr,,de RB Leipzig,,Groupama Stadium,,,
Group Stage,6,Tue,2019-12-10,21:00,Ajax nl,,es Valencia,,Johan Cruyff ArenA,,,
Group Stage,6,Tue,2019-12-10,21:00,Dortmund de,,cz Slavia Prague,,Signal Iduna Park,,,
Group Stage,6,Wed,2019-12-11,18:55,Dinamo Zagreb hr,,eng Manchester City,,Stadion Maksimir,,,
Group Stage,6,Wed,2019-12-11,19:55 (18:55),Shakhtar ua,,it Atalanta,,Oblasny SportKomplex Metalist,,,
Group Stage,6,Wed,2019-12-11,21:00,Paris S-G fr,,tr Galatasaray,,Parc des Princes (deuxième Parc),,,
Group Stage,6,Wed,2019-12-11,21:00,Bayern Munich de,,eng Tottenham,,Allianz Arena,,,
Group Stage,6,Wed,2019-12-11,21:00,Atlético Madrid es,,ru Loko Moscow,,Estadio Wanda Metropolitano,,,
