Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-03-01,18:00 (11:00),Shandong Lunen,1–0,Beijing Renhe,20107,Jinan Olympic Sports Center Stadium,Shi Zhenlu,Match Report,
1,Fri,2019-03-01,19:35 (12:35),Guangzhou Evg,3–0,Tianjin Tianhai,47692,Tianhe Stadium,Mark Clattenburg,Match Report,
1,Fri,2019-03-01,19:35 (12:35),Shanghai Shen,0–4,Shanghai SIPG,23832,Hongkou Stadium,Milorad Mažić,Match Report,
1,Fri,2019-03-01,20:00 (13:00),Wuhan Zall,0–1,Beijing Guoan,24718,Wuhan Sports Center Stadium,Wang Jin,Match Report,
1,Sat,2019-03-02,15:30 (08:30),Chongqing SWM,2–2,Guangzhou R&F,33586,Chongqing Olympic Sports Center,Wang Di,Match Report,
1,Sat,2019-03-02,20:00 (13:00),Shenzhen,3–1,Hebei Fortune,34986,Shenzhen Universiade Sports Centre,Zhang Lei,Match Report,
1,Sun,2019-03-03,15:30 (08:30),Henan Jianye,1–1,Dalian Yifang,21696,Zhengzhou Hanghai Stadium,Ma Ning,Match Report,
1,Sun,2019-03-03,19:35 (12:35),Jiangsu Suning,3–2,Tianjin TEDA,32319,Nanjing Olympic Sports Center,Wang Jin,Match Report,
,,,,,,,,,,,
2,Fri,2019-03-08,19:35 (12:35),Guangzhou Evg,1–0,Tianjin TEDA,28973,Tianhe Stadium,Ma Ning,Match Report,
2,Sat,2019-03-09,15:30 (08:30),Chongqing SWM,0–4,Beijing Guoan,34865,Chongqing Olympic Sports Center,Shen Yinhao,Match Report,
2,Sat,2019-03-09,15:30 (08:30),Shandong Lunen,2–2,Henan Jianye,25066,Jinan Olympic Sports Center Stadium,Fu Ming,Match Report,
2,Sat,2019-03-09,19:35 (12:35),Guangzhou R&F,3–3,Dalian Yifang,9309,Yuexiushan Stadium,Shi Zhenlu,Match Report,
2,Sat,2019-03-09,19:35 (12:35),Shanghai SIPG,3–2,Jiangsu Suning,23501,Shanghai Stadium,Huang Yejun,Match Report,
2,Sun,2019-03-10,15:30 (08:30),Wuhan Zall,1–0,Beijing Renhe,21920,Wuhan Sports Center Stadium,Li Haixin,Match Report,
2,Sun,2019-03-10,17:30 (10:30),Shenzhen,2–1,Tianjin Tianhai,15236,Shenzhen Universiade Sports Centre,Milorad Mažić,Match Report,
2,Sun,2019-03-10,19:35 (12:35),Shanghai Shen,1–2,Hebei Fortune,21123,Hongkou Stadium,Wang Zhe,Match Report,
,,,,,,,,,,,
3,Fri,2019-03-29,19:35 (12:35),Tianjin TEDA,4–3,Guangzhou R&F,30680,Tianjin Olympic Center Stadium,Shen Yinhao,Match Report,
3,Sat,2019-03-30,15:30 (08:30),Beijing Renhe,0–1,Beijing Guoan,22376,Beijing Fengtai Stadium,Zhang Lei,Match Report,
3,Sat,2019-03-30,16:00 (09:00),Dalian Yifang,0–1,Guangzhou Evg,48919,Dalian Sports Center,Wang Di,Match Report,
