Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-07-12,19:00,Midtjylland,1–0,Esbjerg,7310,MCH Arena,Anders Poulsen,Match Report,
1,Sun,2019-07-14,12:00,SønderjyskE,2–1,Randers,4734,Sydbank Park,Mikkel Redder,Match Report,
1,Sun,2019-07-14,14:00,Horsens,0–3,Nordsjælland,1653,CASA Arena Horsens,Morten Krogh,Match Report,
1,Sun,2019-07-14,14:00,Lyngby,2–0,Aalborg,2971,Lyngby Stadion,Jørgen Burchardt,Match Report,
1,Sun,2019-07-14,16:00,Odense,2–3,FC Copenhagen,9067,Nature Energy Park,Michael Tykgaard,Match Report,
1,Sun,2019-07-14,18:00,Brøndby,3–0,Silkeborg,13056,Brøndby Stadion,Mads-Kristoffer Kristoffersen,Match Report,
1,Mon,2019-07-15,19:00,Hobro,1–1,Aarhus,4236,DS Arena,Peter Kjærsgaard-Andersen,Match Report,
,,,,,,,,,,,
2,Fri,2019-07-19,19:00,FC Copenhagen,2–1,Aarhus,16053,Telia Parken,Anders Poulsen,Match Report,
2,Sun,2019-07-21,12:00,Silkeborg,0–3,Horsens,3535,JYSK Park,Sandi Putros,Match Report,
2,Sun,2019-07-21,14:00,Esbjerg,1–1,Hobro,4452,Blue Water Arena,Jørgen Burchardt,Match Report,
2,Sun,2019-07-21,14:00,Aalborg,1–1,SønderjyskE,4355,Aalborg Portland Park,Jakob Kehlet,Match Report,
2,Sun,2019-07-21,16:00,Randers,2–2,Brøndby,5984,BioNutria Park Randers,Michael Tykgaard,Match Report,
2,Sun,2019-07-21,18:00,Midtjylland,2–1,Nordsjælland,6142,MCH Arena,Jens Maae,Match Report,
2,Mon,2019-07-22,19:00,Odense,4–1,Lyngby,6339,Nature Energy Park,Morten Krogh,Match Report,
,,,,,,,,,,,
3,Fri,2019-07-26,19:00,Lyngby,0–3,SønderjyskE,3168,Lyngby Stadion,Benjamin Willaume-Jantzen,Match Report,
3,Sat,2019-07-27,17:30,Horsens,0–2,FC Copenhagen,3565,CASA Arena Horsens,Jakob Kehlet,Match Report,
3,Sun,2019-07-28,12:00,Hobro,2–2,Randers,2812,DS Arena,Jakob A. Sundberg,Match Report,
3,Sun,2019-07-28,14:00,Nordsjælland,2–0,Esbjerg,1982,Right to Dream Park,Sandi Putros,Match Report,
3,Sun,2019-07-28,16:00,Aarhus,0–1,Midtjylland,11739,Ceres Park,Mads-Kristoffer Kristoffersen,Match Report,
3,Sun,2019-07-28,18:00,Brøndby,3–2,Odense,13689,Brøndby Stadion,Peter Kjærsgaard-Andersen,Match Report,
3,Mon,2019-07-29,19:00,Aalborg,3–1,Silkeborg,5885,Aalborg Portland Park,Jens Maae,Match Report,
,,,,,,,,,,,
4,Fri,2019-08-02,19:00,Silkeborg,2–3,Hobro,3468,JYSK Park,Mikkel Redder,Match Report,
4,Sat,2019-08-03,16:00,SønderjyskE,1–2,FC Copenhagen,7417,Sydbank Park,Peter Kjærsgaard-Andersen,Match Report,
4,Sun,2019-08-04,12:00,Randers,3–1,Nordsjælland,3111,BioNutria Park Randers,Aydin Uslu,Match Report,
4,Sun,2019-08-04,14:00,Esbjerg,0–1,Odense,4454,Blue Water Arena,Benjamin Willaume-Jantzen,Match Report,
4,Sun,2019-08-04,16:00,Brøndby,1–2,Horsens,15148,Brøndby Stadion,Anders Poulsen,Match Report,
4,Sun,2019-08-04,18:00,Midtjylland,1–0,Aalborg,7965,MCH Arena,Morten Krogh,Match Report,
4,Mon,2019-08-05,19:00,Lyngby,2–1,Aarhus,5475,Lyngby Stadion,Jens Maae,Match Report,
,,,,,,,,,,,
5,Fri,2019-08-09,18:00,FC Copenhagen,2–0,Lyngby,15747,Telia Parken,Sandi Putros,Match Report,
5,Fri,2019-08-09,20:00,Odense,1–0,Randers,6978,Nature Energy Park,Jakob Kehlet,Match Report,
5,Sun,2019-08-11,12:00,Nordsjælland,2–2,Silkeborg,2030,Right to Dream Park,Jørgen Burchardt,Match Report,
5,Sun,2019-08-11,14:00,Aalborg,4–0,Esbjerg,4380,Aalborg Portland Park,Peter Kjærsgaard-Andersen,Match Report,
5,Sun,2019-08-11,16:00,Horsens,0–2,Midtjylland,3179,CASA Arena Horsens,Michael Tykgaard,Match Report,
5,Sun,2019-08-11,18:00,Hobro,0–2,Brøndby,4186,DS Arena,Mads-Kristoffer Kristoffersen,Match Report,
5,Mon,2019-08-12,19:00,SønderjyskE,0–0,Aarhus,5160,Sydbank Park,Morten Krogh,Match Report,
,,,,,,,,,,,
6,Fri,2019-08-16,18:00,Randers,0–1,FC Copenhagen,5118,BioNutria Park Randers,Mads-Kristoffer Kristoffersen,Match Report,
6,Fri,2019-08-16,20:00,Nordsjælland,2–0,Odense,2107,Right to Dream Park,Mikkel Redder,Match Report,
6,Sun,2019-08-18,12:00,Silkeborg,3–3,SønderjyskE,3277,JYSK Park,Michael Tykgaard,Match Report,
6,Sun,2019-08-18,14:00,Esbjerg,1–0,Lyngby,3396,Blue Water Arena,Sandi Putros,Match Report,
6,Sun,2019-08-18,16:00,Midtjylland,1–1,Hobro,6978,MCH Arena,Jakob Kehlet,Match Report,
6,Sun,2019-08-18,18:00,Brøndby,2–1,Aalborg,11349,Brøndby Stadion,Jens Maae,Match Report,
6,Mon,2019-08-19,19:00,Aarhus,2–0,Horsens,7162,Ceres Park,Jørgen Burchardt,Match Report,
,,,,,,,,,,,
7,Fri,2019-08-23,19:00,Hobro,0–0,Odense,2274,DS Arena,Morten Krogh,Match Report,
7,Sun,2019-08-25,12:00,Lyngby,2–0,Randers,3226,Lyngby Stadion,Anders Poulsen,Match Report,
7,Sun,2019-08-25,14:00,Esbjerg,2–2,Silkeborg,3849,Blue Water Arena,Jakob A. Sundberg,Match Report,
7,Sun,2019-08-25,16:00,SønderjyskE,0–2,Midtjylland,5028,Sydbank Park,Peter Kjærsgaard-Andersen,Match Report,
7,Sun,2019-08-25,18:00,Brøndby,0–3,Aarhus,14145,Brøndby Stadion,Mads-Kristoffer Kristoffersen,Match Report,
7,Sun,2019-08-25,20:00,FC Copenhagen,3–1,Nordsjælland,11316,Telia Parken,Jørgen Burchardt,Match Report,
7,Mon,2019-08-26,19:00,Horsens,0–5,Aalborg,2709,CASA Arena Horsens,Benjamin Willaume-Jantzen,Match Report,
,,,,,,,,,,,
8,Fri,2019-08-30,19:00,Odense,0–0,SønderjyskE,7337,Nature Energy Park,Sandi Putros,Match Report,
8,Sat,2019-08-31,16:00,Nordsjælland,2–1,Hobro,2529,Right to Dream Park,Michael Tykgaard,Match Report,
8,Sun,2019-09-01,12:00,Aarhus,1–0,Esbjerg,10420,Ceres Park,Jens Maae,Match Report,
8,Sun,2019-09-01,14:00,Horsens,2–1,Lyngby,1234,CASA Arena Horsens,Aydin Uslu,Match Report,
8,Sun,2019-09-01,14:00,Randers,2–0,Silkeborg,4021,BioNutria Park Randers,Mikkel Redder,Match Report,
8,Sun,2019-09-01,16:00,Aalborg,1–0,FC Copenhagen,11645,Aalborg Portland Park,Jakob Kehlet,Match Report,
8,Sun,2019-09-01,18:00,Midtjylland,1–0,Brøndby,10944,MCH Arena,Jørgen Burchardt,Match Report,
,,,,,,,,,,,
9,Fri,2019-09-13,19:00,SønderjyskE,0–0,Horsens,4743,Sydbank Park,Jens Maae,Match Report,
9,Sun,2019-09-15,12:00,Aarhus,3–0,Aalborg,10235,Ceres Park,Anders Poulsen,Match Report,
9,Sun,2019-09-15,14:00,Esbjerg,0–3,Randers,3422,Blue Water Arena,Morten Krogh,Match Report,
9,Sun,2019-09-15,14:00,Lyngby,0–3,Midtjylland,4139,Lyngby Stadion,Mads-Kristoffer Kristoffersen,Match Report,
9,Sun,2019-09-15,16:00,Hobro,2–1,FC Copenhagen,,DS Arena,Peter Kjærsgaard-Andersen,Match Report,
9,Sun,2019-09-15,18:00,Brøndby,4–2,Nordsjælland,,Brøndby Stadion,Jakob Kehlet,Match Report,
9,Mon,2019-09-16,19:00,Silkeborg,,Odense,,JYSK Park,,,
,,,,,,,,,,,
10,Fri,2019-09-20,19:00,Odense,,Aarhus,,Nature Energy Park,,,
10,Sun,2019-09-22,12:00,Hobro,,SønderjyskE,,DS Arena,,,
10,Sun,2019-09-22,14:00,Silkeborg,,Lyngby,,JYSK Park,,,
10,Sun,2019-09-22,14:00,Nordsjælland,,Aalborg,,Right to Dream Park,,,
10,Sun,2019-09-22,16:00,Esbjerg,,Brøndby,,Blue Water Arena,,,
10,Sun,2019-09-22,18:00,FC Copenhagen,,Midtjylland,,Telia Parken,,,
10,Mon,2019-09-23,19:00,Randers,,Horsens,,BioNutria Park Randers,,,
,,,,,,,,,,,
11,Fri,2019-09-27,19:00,Lyngby,,Hobro,,Lyngby Stadion,,,
