Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,4,,,,Astana FK kz,,nl AZ Alkmaar,,,,,
,,,,,,,,,,,,
Group Stage,5,,,,Astana FK kz,,eng Manchester Utd,,,,,
,,,,,,,,,,,,
Group Stage,1,Thu,2019-09-19,18:55,Rennes fr,,sco Celtic,,Roazhon Park,,,
Group Stage,1,Thu,2019-09-19,18:55,PSV Eindhoven nl,,pt Sporting CP,,Philips Stadion,,,
Group Stage,1,Thu,2019-09-19,18:55,Basel ch,,ru Krasnodar,,St. Jakob-Park,,,
Group Stage,1,Thu,2019-09-19,18:55,FC Copenhagen dk,,ch Lugano,,Telia Parken,,,
Group Stage,1,Thu,2019-09-19,18:55,Standard Liège be,,pt Vitória,,Stade Maurice Dufrasne,,,
Group Stage,1,Thu,2019-09-19,18:55,Getafe es,,tr Trabzonspor,,Coliseum Alfonso Pérez,,,
Group Stage,1,Thu,2019-09-19,18:55,Eint Frankfurt de,,eng Arsenal,,Commerzbank-Arena,,,
Group Stage,1,Thu,2019-09-19,18:55,LASK Linz at,,no Rosenborg,,Linzer Stadion,,,
Group Stage,1,Thu,2019-09-19,19:55 (18:55),CFR Cluj ro,,it Lazio,,Stadionul Dr. Constantin Rădulescu,,,
Group Stage,1,Thu,2019-09-19,19:55 (18:55),APOEL cy,,lu F91 Dudelange,,Neo GSP,,,
Group Stage,1,Thu,2019-09-19,19:55 (18:55),Dynamo Kyiv ua,,se Malmö,,NSK Olimpijs'kyj,,,
Group Stage,1,Thu,2019-09-19,20:00 (21:00),Wolves eng,,pt Braga,,Molineux Stadium,,,
Group Stage,1,Thu,2019-09-19,20:00 (21:00),Porto pt,,ch Young Boys,,Estádio Do Dragão,,,
Group Stage,1,Thu,2019-09-19,20:00 (21:00),Manchester Utd eng,,kz Astana FK,,Old Trafford,,,
Group Stage,1,Thu,2019-09-19,20:00 (21:00),Rangers sco,,nl Feyenoord,,Ibrox Stadium,,,
Group Stage,1,Thu,2019-09-19,20:55 (18:55),Qarabağ Ağdam az,,es Sevilla,,Tofiq Bəhramov adına Respublika stadionu,,,
Group Stage,1,Thu,2019-09-19,21:00,Espanyol es,,hu Ferencváros,,RCDE Stadium,,,
Group Stage,1,Thu,2019-09-19,21:00,Wolfsburg de,,ua FC Oleksandriya,,Volkswagen Arena,,,
Group Stage,1,Thu,2019-09-19,21:00,M'gladbach de,,at Wolfsberger AC,,Stadion im Borussia-Park,,,
Group Stage,1,Thu,2019-09-19,21:00,Partizan rs,,nl AZ Alkmaar,,Stadion Partizana,,,
Group Stage,1,Thu,2019-09-19,21:00,Sl. Bratislava sk,,tr Beşiktaş,,Národný Futbalový Štadión,,,
Group Stage,1,Thu,2019-09-19,21:00,Gent be,,fr Saint-Étienne,,GHELAMCO-arena,,,
Group Stage,1,Thu,2019-09-19,21:00,Roma it,,tr Başakşehir,,Stadio Olimpico,,,
Group Stage,1,Thu,2019-09-19,22:00 (21:00),Ludogorets bg,,ru CSKA Moscow,,Ludogorets Arena,,,
,,,,,,,,,,,,
Group Stage,2,Wed,2019-10-02,15:50 (16:50),Vitória pt,,de Eint Frankfurt,,Estádio Dom Afonso Henriques,,,
Group Stage,2,Thu,2019-10-03,17:55 (18:55),Braga pt,,sk Sl. Bratislava,,Estádio Municipal de Braga,,,
Group Stage,2,Thu,2019-10-03,18:55,Feyenoord nl,,pt Porto,,Stadion Feijenoord,,,
Group Stage,2,Thu,2019-10-03,18:55,Wolfsberger AC at,,it Roma,,Merkur Arena,,,
Group Stage,2,Thu,2019-10-03,18:55,Ferencváros hu,,bg Ludogorets,,Groupama Arena,,,
Group Stage,2,Thu,2019-10-03,18:55,AZ Alkmaar nl,,eng Manchester Utd,,Cars Jeans Stadion,,,
Group Stage,2,Thu,2019-10-03,18:55,Saint-Étienne fr,,de Wolfsburg,,Stade Geoffroy-Guichard,,,
Group Stage,2,Thu,2019-10-03,18:55,Young Boys ch,,sco Rangers,,Stade de Suisse Wankdorf Bern,,,
