Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2019-08-03,19:30,Kisvárda,1–0,Paks,2128,Várkert Sportpálya,,Match Report,
1,Sat,2019-08-03,19:30,Mezőkövesd,1–0,Zalaegerszeg,2245,Városi Stadion,,Match Report,
1,Sat,2019-08-03,19:30,Újpest,1–3,Puskás,2707,Illovszky Rudolf Stadion,,Match Report,
1,Sun,2019-08-04,,Ferencváros,,Debrecen,,Groupama Arena,,,Match Postponed
1,Sun,2019-08-04,18:00,Fehérvár,4–2,Kaposvári,2880,MOL Aréna Sóstó,Péter Solymosi,Match Report,
1,Sun,2019-08-04,18:00,Diósgyőr,2–1,Honvéd,6139,Hidegkuti Nándor Stadion,,Match Report,
,,,,,,,,,,,
2,Sat,2019-08-10,17:00,Kaposvári,1–2,Mezőkövesd,2950,Rákóczi Stadion,,Match Report,
2,Sat,2019-08-10,19:30,Zalaegerszeg,,Ferencváros,,ZTE-Aréna,,,Match Postponed
2,Sat,2019-08-10,19:30,Diósgyőr,1–2,Újpest,6518,Diósgyőri Stadion,,Match Report,
2,Sun,2019-08-11,18:00,Paks,3–1,Honvéd,2311,Fehérvári úti stadion,,Match Report,
2,Sun,2019-08-11,18:00,Puskás,0–2,Fehérvár,1712,Puskás Akadémia Pancho Aréna,,Match Report,
2,Sun,2019-08-11,18:00,Debrecen,4–1,Kisvárda,4540,Nagyerdei Stadion,,Match Report,
,,,,,,,,,,,
3,Sat,2019-08-17,17:00,Debrecen,3–2,Zalaegerszeg,4150,Nagyerdei Stadion,,Match Report,
3,Sat,2019-08-17,19:30,Mezőkövesd,1–0,Puskás,2214,Városi Stadion,,Match Report,
3,Sat,2019-08-17,19:30,Fehérvár,5–1,Diósgyőr,3586,MOL Aréna Sóstó,,Match Report,
3,Sat,2019-08-17,19:30,Honvéd,1–3,Kisvárda,2500,Hidegkuti Nándor Stadion,,Match Report,
3,Sat,2019-08-17,19:30,Ferencváros,1–0,Kaposvári,6891,Groupama Arena,,Match Report,
3,Sat,2019-08-17,19:30,Újpest,1–1,Paks,2349,Illovszky Rudolf Stadion,,Match Report,
,,,,,,,,,,,
4,Sat,2019-08-24,18:00,Honvéd,2–3,Debrecen,2441,Hidegkuti Nándor Stadion,,Match Report,
4,Sat,2019-08-24,18:00,Diósgyőr,0–3,Mezőkövesd,4853,Diósgyőri Stadion,,Match Report,
4,Sat,2019-08-24,18:00,Paks,0–2,Fehérvár,2098,Fehérvári úti stadion,,Match Report,
4,Sat,2019-08-24,18:00,Kaposvári,0–4,Zalaegerszeg,2410,Rákóczi Stadion,,Match Report,
4,Sat,2019-08-24,18:00,Kisvárda,2–0,Újpest,2451,Várkert Sportpálya,,Match Report,
4,Sun,2019-08-25,18:00,Puskás,4–1,Ferencváros,3846,Puskás Akadémia Pancho Aréna,Balázs Berke,Match Report,
,,,,,,,,,,,
5,Sat,2019-08-31,19:30,Zalaegerszeg,1–1,Puskás,4858,ZTE-Aréna,,Match Report,
5,Sat,2019-08-31,19:30,Debrecen,0–1,Kaposvári,4120,Nagyerdei Stadion,,Match Report,
5,Sat,2019-08-31,19:30,Újpest,2–3,Honvéd,3752,Illovszky Rudolf Stadion,,Match Report,
5,Sat,2019-08-31,19:30,Fehérvár,3–0,Kisvárda,3679,MOL Aréna Sóstó,,Match Report,
5,Sat,2019-08-31,19:30,Mezőkövesd,0–2,Paks,2362,Városi Stadion,,Match Report,
5,Sun,2019-09-01,18:00,Ferencváros,1–0,Diósgyőr,8055,Groupama Arena,Tamás Bognár,Match Report,
,,,,,,,,,,,
6,Sat,2019-09-14,17:00,Kisvárda,1–2,Mezőkövesd,,Várkert Sportpálya,,Match Report,
6,Sat,2019-09-14,17:00,Újpest,3–2,Debrecen,,Illovszky Rudolf Stadion,,Match Report,
6,Sat,2019-09-14,17:00,Diósgyőr,1–0,Zalaegerszeg,,Diósgyőri Stadion,,Match Report,
6,Sat,2019-09-14,17:00,Honvéd,0–1,Fehérvár,,Hidegkuti Nándor Stadion,,Match Report,
6,Sat,2019-09-14,17:00,Puskás,2–0,Kaposvári,,Puskás Akadémia Pancho Aréna,,Match Report,
6,Sat,2019-09-14,19:30,Paks,0–4,Ferencváros,,Fehérvári úti stadion,,Match Report,
,,,,,,,,,,,
7,Sat,2019-09-28,17:00,Mezőkövesd,,Honvéd,,Városi Stadion,,,
7,Sat,2019-09-28,17:00,Kaposvári,,Diósgyőr,,Rákóczi Stadion,,,
7,Sat,2019-09-28,17:00,Debrecen,,Puskás,,Nagyerdei Stadion,,,
7,Sat,2019-09-28,17:00,Zalaegerszeg,,Paks,,ZTE-Aréna,,,
7,Sat,2019-09-28,19:30,Fehérvár,,Újpest,,MOL Aréna Sóstó,,,
7,Sun,2019-09-29,16:00,Ferencváros,,Kisvárda,,Groupama Arena,,,
,,,,,,,,,,,
8,Sat,2019-10-05,14:30,Újpest,,Mezőkövesd,,,,,
8,Sat,2019-10-05,17:00,Diósgyőr,,Puskás,,,,,
8,Sat,2019-10-05,17:00,Paks,,Kaposvári,,,,,
8,Sat,2019-10-05,17:00,Kisvárda,,Zalaegerszeg,,,,,
8,Sat,2019-10-05,19:30,Fehérvár,,Debrecen,,,,,
8,Sun,2019-10-06,16:00,Honvéd,,Ferencváros,,,,,
,,,,,,,,,,,
9,Sat,2019-10-19,,Ferencváros,,Újpest,,,,,
9,Sat,2019-10-19,,Zalaegerszeg,,Honvéd,,,,,
9,Sat,2019-10-19,,Debrecen,,Diósgyőr,,,,,
9,Sat,2019-10-19,,Kaposvári,,Kisvárda,,,,,
9,Sat,2019-10-19,,Puskás,,Paks,,,,,
9,Sat,2019-10-19,,Mezőkövesd,,Fehérvár,,,,,
,,,,,,,,,,,
10,Sat,2019-10-26,,Újpest,,Zalaegerszeg,,,,,
10,Sat,2019-10-26,,Paks,,Diósgyőr,,,,,
10,Sat,2019-10-26,,Honvéd,,Kaposvári,,,,,
