Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2019-08-24,18:00,Parma,0–1,Juventus,20073,Stadio Ennio Tardini,Fabio Maresca,Match Report,
1,Sat,2019-08-24,20:45,Fiorentina,3–4,Napoli,33614,Stadio Artemio Franchi,Davide Massa,Match Report,
1,Sun,2019-08-25,18:00,Udinese,1–0,Milan,24584,Dacia Arena,Fabrizio Pasqua,Match Report,
1,Sun,2019-08-25,20:45,Sampdoria,0–3,Lazio,19500,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Match Report,
1,Sun,2019-08-25,20:45,Cagliari,0–1,Brescia,16099,Sardegna Arena,Eugenio Abbattista,Match Report,
1,Sun,2019-08-25,20:45,Hellas Verona,1–1,Bologna,16324,Stadio Marc'Antonio Bentegodi,Antonio Giua,Match Report,
1,Sun,2019-08-25,20:45,Roma,3–3,Genoa,38779,Stadio Olimpico,Giampaolo Calvarese,Match Report,
1,Sun,2019-08-25,20:45,Torino,2–1,Sassuolo,16536,Stadio Olimpico di Torino,Maurizio Mariani,Match Report,
1,Sun,2019-08-25,20:45,SPAL,2–3,Atalanta,11706,Stadio Paolo Mazza,Gianluca Manganiello,Match Report,
1,Mon,2019-08-26,20:45,Inter,4–0,Lecce,64188,Stadio Giuseppe Meazza,Federico La Penna,Match Report,
,,,,,,,,,,,
2,Fri,2019-08-30,20:45,Bologna,1–0,SPAL,25086,Stadio Renato Dall'Ara,Marco Di Bello,Match Report,
2,Sat,2019-08-31,18:00,Milan,1–0,Brescia,56691,Stadio Giuseppe Meazza,Rosario Abisso,Match Report,
2,Sat,2019-08-31,20:45,Juventus,4–3,Napoli,39203,Allianz Stadium,Daniele Orsato,Match Report,
2,Sun,2019-09-01,18:00,Lazio,1–1,Roma,52000,Stadio Olimpico,Marco Guida,Match Report,
2,Sun,2019-09-01,20:45,Atalanta,2–3,Torino,8182,Stadio Atleti Azzurri d'Italia,Daniele Doveri,Match Report,
2,Sun,2019-09-01,20:45,Sassuolo,4–1,Sampdoria,9608,Stadio Città del Tricolore,Luca Pairetto,Match Report,
2,Sun,2019-09-01,20:45,Genoa,2–1,Fiorentina,20000,Stadio Comunale Luigi Ferraris,Piero Giacomelli,Match Report,
2,Sun,2019-09-01,20:45,Cagliari,1–2,Inter,16412,Sardegna Arena,Fabio Maresca,Match Report,
2,Sun,2019-09-01,20:45,Udinese,1–3,Parma,20410,Dacia Arena,Marco Piccinini,Match Report,
2,Sun,2019-09-01,20:45,Lecce,0–1,Hellas Verona,24418,Stadio Comunale Via Del Mare,Juan Sacchi,Match Report,
,,,,,,,,,,,
3,Sat,2019-09-14,15:00,Fiorentina,0–0,Juventus,,Stadio Artemio Franchi,Massimiliano Irrati,Match Report,
3,Sat,2019-09-14,18:00,Napoli,2–0,Sampdoria,,Stadio San Paolo,Federico La Penna,Match Report,
