Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-07-19,19:00 (02:00),Puebla,1–3,Tijuana,15080,Estadio Cuauhtémoc,Luis Santander,Match Report,
1,Fri,2019-07-19,21:00 (04:00),Atlas,1–0,FC Juárez,28893,Estadio Jalisco,Alfredo Peñaloza,Match Report,
1,Sat,2019-07-20,17:00 (00:00),Atlético,0–2,UNAM,25103,Estadio Alfonso Lastras Ramírez,Diego Montaño,Match Report,
1,Sat,2019-07-20,17:00 (00:00),Pachuca,1–3,León,21240,Estadio Hidalgo,Adonai Escobedo,Match Report,
1,Sat,2019-07-20,19:00 (02:00),América,4–2,Monterrey,31129,Estadio Azteca,César Arturo Ramos,Match Report,
1,Sat,2019-07-20,21:00 (04:00),Necaxa,0–0,Cruz Azul,19361,Estadio Victoria de Aguascalientes,Jorge Pérez,Match Report,
1,Sat,2019-07-20,21:00 (04:00),UANL,4–2,Morelia,41580,Estadio Universitario de Nuevo León,Roberto García,Match Report,
1,Sun,2019-07-21,12:00 (19:00),Toluca,0–2,Querétaro,13015,Estadio Nemesio Díez,Marco Antonio Nava,Match Report,
1,Sun,2019-07-21,18:45 (01:45),Santos,3–0,Guadalajara,26572,Estadio Nuevo Corona,Jorge Rojas,Match Report,
,,,,,,,,,,,
2,Fri,2019-07-26,19:00 (02:00),Morelia,0–1,Atlas,20136,Estadio Generalísimo José María Morelos ...,Oscar Mejia,Match Report,
2,Fri,2019-07-26,21:00 (04:00),Veracruz,3–3,Pachuca,14620,Estadio Luis de la Fuente,Fernando Hernández,Match Report,
2,Sat,2019-07-27,19:00 (02:00),León,0–0,América,26632,Estadio León,Roberto García,Match Report,
2,Sat,2019-07-27,19:06 (04:06),Tijuana,1–1,Querétaro,26933,Estadio Caliente,Adonai Escobedo,Match Report,
2,Sat,2019-07-27,21:00 (04:00),Cruz Azul,1–1,Toluca,25320,Estadio Azteca,Diego Montaño,Match Report,
