Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-07-19,18:00,Arka Gdynia,0–3,Jagiellonia,10101,Stadion GOSiR,Bartosz Frankowski,Match Report,
1,Fri,2019-07-19,20:30,Łódzki KS,0–0,Lechia Gdańsk,5452,Stadion ŁKS-u,Paweł Gil,Match Report,
1,Sat,2019-07-20,15:00,RKS Raków,0–1,Korona Kielce,3025,Stadion Raków,Piotr Lasyk,Match Report,
1,Sat,2019-07-20,17:30,Wisła Kraków,0–1,Śląsk Wrocław,14613,Stadion Miejski im. Henryka Reymana,Daniel Stefański,Match Report,
1,Sat,2019-07-20,20:00,Piast Gliwice,1–1,Lech Poznań,4698,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
1,Sun,2019-07-21,15:00,Zagłębie Lubin,1–1,Cracovia,5013,Stadion Zagłębia Lubin,Mariusz Zlotek,Match Report,
1,Sun,2019-07-21,17:30,Legia Warsaw,1–2,Pogoń Szczecin,25345,Stadion Miejski Legii Warszawa im. Marsz...,Jarosław Przybył,Match Report,
1,Mon,2019-07-22,18:00,Wisła Płock,1–1,Górnik Zabrze,5316,Stadion im. Kazimierza Górskiego,Paweł Raczkowski,Match Report,
,,,,,,,,,,,
2,Fri,2019-07-26,18:00,Górnik Zabrze,1–0,Zagłębie Lubin,17068,Arena Zabrze,Łukasz Szczech,Match Report,
2,Fri,2019-07-26,20:30,Lech Poznań,4–0,Wisła Płock,16616,INEA stadion,Jarosław Przybył,Match Report,
2,Sat,2019-07-27,17:30,Cracovia,1–2,Łódzki KS,8043,Stadion Cracovii,Szymon Marciniak,Match Report,
2,Sat,2019-07-27,20:00,Jagiellonia,0–1,RKS Raków,12583,Stadion Miejski,Daniel Stefański,Match Report,
2,Sun,2019-07-28,15:00,Korona Kielce,1–2,Legia Warsaw,11692,Kolporter Arena,Mariusz Zlotek,Match Report,
2,Sun,2019-07-28,17:30,Lechia Gdańsk,0–0,Wisła Kraków,13270,Stadion Energa Gdańsk,Krzysztof Jakubik,Match Report,
2,Sun,2019-07-28,17:30,Śląsk Wrocław,2–1,Piast Gliwice,12794,Stadion Miejski,Paweł Raczkowski,Match Report,
2,Mon,2019-07-29,18:00,Pogoń Szczecin,2–0,Arka Gdynia,3897,Stadion Miejski im. Floriana Krygiera,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,
3,Fri,2019-08-02,18:00,Arka Gdynia,1–1,Korona Kielce,7345,Stadion GOSiR,Krzysztof Jakubik,Match Report,
3,Fri,2019-08-02,20:30,Zagłębie Lubin,2–2,Jagiellonia,4003,Stadion Zagłębia Lubin,Piotr Lasyk,Match Report,
3,Sat,2019-08-03,17:30,RKS Raków,1–3,Cracovia,3167,Stadion Raków,Paweł Raczkowski,Match Report,
3,Sat,2019-08-03,20:00,Łódzki KS,1–2,Lech Poznań,5452,Stadion ŁKS-u,Daniel Stefański,Match Report,
3,Sun,2019-08-04,15:00,Wisła Płock,1–2,Lechia Gdańsk,5511,Stadion im. Kazimierza Górskiego,Bartosz Frankowski,Match Report,
