Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-07-12,20:00 (19:00),Arsenal Tula,1–1,Dynamo Mosc,14742,Stadion Arsenal,Sergey Lapochkin,Match Report,
1,Sat,2019-07-13,18:30 (15:30),Ural,3–2,Ufa,14614,Stadion Central'nyj,Sergey Karasev,Match Report,
1,Sat,2019-07-13,19:00 (18:00),Spartak Moscow,1–0,Sochi,29892,Otkrytie Arena,Vladimir Moskalev,Match Report,
1,Sat,2019-07-13,21:30 (20:30),Rostov,2–1,FK Orenburg,14584,Stadion SKA SKVO,Vladislav Bezborodov,Match Report,
1,Sun,2019-07-14,17:30 (15:30),Samara,2–0,CSKA Moscow,25287,Cosmos Arena,Kirill Levnikov,Match Report,
1,Sun,2019-07-14,19:00 (18:00),Zenit,2–1,Tambov,46231,Gazprom Arena,Aleksey Eskov,Match Report,
1,Sun,2019-07-14,21:30 (20:30),Akhmat Grozny,1–0,Krasnodar,27535,Stadion im. Akhmat-Khaji Kadyrova,Vitaly Meshkov,Match Report,
1,Mon,2019-07-15,20:00 (19:00),Loko Moscow,1–1,Rubin Kazan,10732,RZD Arena,Mikhail Vilkov,Match Report,
,,,,,,,,,,,
2,Sat,2019-07-20,16:00 (13:00),Ufa,2–3,Krasnodar,6725,Stadion Neftyanik,Aleksey Eskov,Match Report,
2,Sat,2019-07-20,17:30 (15:30),Samara,2–3,Arsenal Tula,15780,Cosmos Arena,Pavel Kukuyan,Match Report,
2,Sat,2019-07-20,19:00 (18:00),CSKA Moscow,2–1,FK Orenburg,15082,VEB Arena,Evgeny Turbin,Match Report,
2,Sat,2019-07-20,21:30 (20:30),Rostov,2–2,Spartak Moscow,35865,Rostov Arena,Kirill Levnikov,Match Report,
2,Sun,2019-07-21,16:00 (13:00),Ural,3–0,Akhmat Grozny,15611,Stadion Central'nyj,Aleksey Sukhoy,Match Report,
2,Sun,2019-07-21,16:30 (15:30),Loko Moscow,2–1,Tambov,10187,RZD Arena,Stanislav Vasilyev,Match Report,
2,Sun,2019-07-21,19:00 (18:00),Dynamo Mosc,0–1,Rubin Kazan,17315,VEB Arena,Vitaly Meshkov,Match Report,
2,Sun,2019-07-21,21:30 (20:30),Sochi,0–2,Zenit,35102,Olimpiyskiy Stadion Fisht,Aleksey Matyunin,Match Report,
,,,,,,,,,,,
3,Fri,2019-07-26,20:00 (19:00),Dynamo Mosc,2–0,Ural,12349,VTB Arena,Pavel Kukuyan,Match Report,
