Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Sat,2019-01-26,11:00 (16:00),Dep La Guaira,2–3,Monagas,582,Estadio Olímpico,José Argote,Match Report,
Regular Season,1,Sat,2019-01-26,15:00 (20:00),LALA,0–5,Mineros,6304,Centro Total de Entretenimiento Cachamay,Juan Cabeza,Match Report,
Regular Season,1,Sat,2019-01-26,17:00 (22:00),Aragua,2–1,Acad Pr Cabello,,Estadio Olímpico Hermanos Ghersi Páez,Isley Delgado,Match Report,
Regular Season,1,Sat,2019-01-26,17:45 (22:45),Portuguesa,2–1,Dep Anzoátegui,,Estadio General José Antonio Páez,Ronny Cueva,Match Report,
Regular Season,1,Sun,2019-01-27,16:00 (21:00),Dep Táchira,2–1,Trujillanos,,Estadio Polideportivo de Pueblo Nuevo,Eduardo Mármol,Match Report,
Regular Season,1,Sun,2019-01-27,16:00 (21:00),Metropolitanos,1–2,Estud Caracas,,Estadio Olímpico,Jesús Valenzuela,Match Report,
Regular Season,1,Sun,2019-01-27,17:00 (22:00),Deportivo Lara,0–1,Caracas,,Estadio Metropolitano de Fútbol de Lara,Marcos Suárez,Match Report,
Regular Season,1,Sun,2019-01-27,18:00 (23:00),Zamora,4–1,Zulia,,Estadio Rafael Agustín Tovar,Marlon Escalante,Match Report,
Regular Season,1,Mon,2019-01-28,16:00 (21:00),Llaneros,0–0,Estud Mérida,,Estadio Olímpico Rafael Calles Pinto,Emikar Caldera,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2019-02-01,19:00 (00:00),Caracas,3–0,Zamora,,Estadio Olímpico,Orlando Bracamonte,Match Report,
Regular Season,2,Sat,2019-02-02,15:30 (20:30),Dep Anzoátegui,0–0,LALA,1255,Estadio Olímpico General José Antonio An...,Yender Herrera,Match Report,
Regular Season,2,Sun,2019-02-03,15:00 (20:00),Estud Caracas,0–1,Carabobo,,Estadio Olímpico Hermanos Ghersi Páez,José Argote,Match Report,
Regular Season,2,Sun,2019-02-03,15:30 (20:30),Atlé Venezuela,1–1,Portuguesa,,Estadio Olímpico General José Antonio An...,Emikar Caldera,Match Report,
Regular Season,2,Sun,2019-02-03,15:30 (20:30),Trujillanos,2–1,Aragua,,Estadio José Alberto Pérez,Ramón Ortega,Match Report,
Regular Season,2,Sun,2019-02-03,16:00 (21:00),Zulia,1–0,Dep Táchira,,Estadio José Encarnación Pachencho Romer...,Isley Delgado,Match Report,
Regular Season,2,Sun,2019-02-03,16:00 (21:00),Estud Mérida,1–1,Deportivo Lara,,Estadio Olímpico Metropolitano de Mérida,Yimmy García,Match Report,
Regular Season,2,Sun,2019-02-03,16:00 (21:00),Mineros,2–1,Dep La Guaira,,Centro Total de Entretenimiento Cachamay,Alexis Herrera,Match Report,
Regular Season,2,Sun,2019-02-03,17:00 (22:00),Monagas,3–0,Llaneros,3715,Estadio Monumental de Maturín,Marlon Escalante,Match Report,
Regular Season,2,Sun,2019-02-03,18:00 (23:00),Acad Pr Cabello,1–1,Metropolitanos,,Complejo Deportivo Socialista,Ángel Arteaga,Match Report,
,,,,,,,,,,,,
Regular Season,3,Sat,2019-02-09,15:00 (20:00),LALA,2–3,Atlé Venezuela,1255,Centro Total de Entretenimiento Cachamay,Yender Herrera,Match Report,
