Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,03.09. 13:00,KHL,HC Red Star Kunlun,3:3,Salavat Yulaev Ufa,X,Eishockey - Kontinental Hockey League
002,03.09. 14:30,KHL,Sibir Nowosibirsk,2:1,Amur Chabarowsk,1,Eishockey - Kontinental Hockey League
003,03.09. 15:30,KHL,HC Barys,1:3,A. Vladivostok,2,Eishockey - Kontinental Hockey League
004,03.09. 20:00,TEN ATP,"Wawrinka, Stan",1:3,"Medvedev, Daniil",2,Tennis - Tennis ATP
005,04.09. 02:15,TEN ATP,"Federer, Roger",2:3,"Dimitrov, Grigor",2,Tennis - Tennis ATP
006,03.09. 18:00,TEN WTA,"Switolina, Elina",2:0,"Konta, Johanna",1,Tennis - Tennis WTA
007,04.09. 01:00,TEN WTA,"Williams, Serena",2:0,"Wang, Qiang",1,Tennis - Tennis WTA
008,03.09. 17:15,DEN CUP,Hilleröd Fodbold,1:0,Naestved BK,1,Fussball - Dänemark Landspokalturneringen
009,03.09. 17:30,KHL,Jokerit Helsinki,1:3,Avangard Omsk,2,Eishockey - Kontinental Hockey League
010,03.09. 18:00,EMQDA,Österreich Damen,3:5,Nordmazedon. (D)+5,2,"Fussball - EM Qualifikation, Damen"
011,03.09. 17:45,RL VBG,FC Wolfurt,3:2,FC Langenegg,1,Fussball - Eliteliga Vorarlberg
012,03.09. 18:00,INT FSD,Norwegen Damen,2:1,England Damen,1,"Fussball - Internationale Freundschaftsspiele, Damen"
013,03.09. 18:30,KHL,HK CSKA Moskau,3:2,AK Bars Kasan,1,Eishockey - Kontinental Hockey League
014,03.09. 19:00,RL VBG,Austria Lustenau A,2:2,SC Röthis,X,Fussball - Eliteliga Vorarlberg
015,03.09. 19:00,HB AUT,SG Westwien,24:22,HC Linz AG,1,Handball - Österreich HLA
016,03.09. 20:30,CP BIC,Atletico Grau*,1:1,Sporting Cristal,X,"Fussball - Peru, Copa Bicentenario"
017,03.09. 20:30,ENG LTR,FC Crewe Alexandra,1:3,Burton Albion,2,Fussball - England Football League Trophy
018,03.09. 20:30,ENG LTR,FC Blackpool,5:1,FC Morecambe,1,Fussball - England Football League Trophy
019,03.09. 20:30,ENG LTR,Northampton,0:2,Peterborough Utd.,2,Fussball - England Football League Trophy
020,03.09. 20:45,ENG LTR,Grimsby Town,1:2,Scunthorpe United,2,Fussball - England Football League Trophy
021,03.09. 20:45,ENG LTR,Accrington Stanley,2:1,Fleetwood Town,1,Fussball - England Football League Trophy
022,03.09. 20:45,ENG LTR,Port Vale FC,2:1,Shrewsbury Town,1,Fussball - England Football League Trophy
023,03.09. 20:45,ENG LTR,Doncaster Rovers,3:1,Lincoln City,1,Fussball - England Football League Trophy
024,03.09. 20:45,ENG LTR,FC Gillingham,2:3,Colchester United,2,Fussball - England Football League Trophy
025,03.09. 20:45,ENG LTR,FC Portsmouth,1:0,Crawley Town,1,Fussball - England Football League Trophy
