Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,06.09. 15:00,U21 EMQ,Kasachstan U21,0:1,Spanien U21,2,Fussball - U21 EM Qualifikation
002,06.09. 16:00,U21 EMQ,Lettland U21,0:1,Polen U21,2,Fussball - U21 EM Qualifikation
003,06.09. 18:00,U21 EMQ,Russland U21,1:0,Serbien U21,1,Fussball - U21 EM Qualifikation
004,06.09. 17:30,U21 EMQ,Ukraine U21,0:2,Finnland U21,2,Fussball - U21 EM Qualifikation
005,06.09. 18:00,U21 EMQ,Wales U21,1:0,Belgien U21,1,Fussball - U21 EM Qualifikation
006,06.09. 18:00,U21 EMQ,Tschechien U21,2:0,Litauen U21,1,Fussball - U21 EM Qualifikation
007,06.09. 18:00,EM Q,Estland,1:2,Weißrussland,2,Fussball - Europameisterschaft Qualifikation
008,06.09. 18:00,EM Q,Zypern,1:1,Kasachstan,X,Fussball - Europameisterschaft Qualifikation
009,06.09. 18:00,EH CL,Tappara Tamper FIN,8:3,KAC Klagenfurt AUT,1,Eishockey - Champions Hockey League
010,06.09. 18:00,EH CL,Djurgardens IF SWE,3:6,Vienna Caps AUT,2,Eishockey - Champions Hockey League
011,06.09. 18:45,AUT RLO,SV Mattersburg Am.,1:2,Bruck/Leitha,2,Fussball - Österreich Regionalliga Ost
012,06.09. 18:45,AUT RLO,SC Neusiedl,2:1,FC Mauerwerk,1,Fussball - Österreich Regionalliga Ost
013,06.09. 18:45,AUT RLO,FCM Traiskirchen,3:0,SC Wiener Neustadt,1,Fussball - Österreich Regionalliga Ost
014,06.09. 18:45,AUT RLO,SV Leobendorf,1:6,Wiener Sportklub,2,Fussball - Österreich Regionalliga Ost
015,06.09. 18:45,AUT RLM,Bad Gleichenberg,3:1,ATSV Wolfsberg,1,Fussball - Österreich Regionalliga Mitte
016,06.09. 18:45,AUT RLM,SC Weiz,1:1,SC Kalsdorf,X,Fussball - Österreich Regionalliga Mitte
017,06.09. 18:45,AUT RLM,FC Gleisdorf,2:3,WSC Hertha Wels,2,Fussball - Österreich Regionalliga Mitte
018,06.09. 18:45,AUT RLM,FC Wels,1:3,SV Allerheiligen,2,Fussball - Österreich Regionalliga Mitte
019,06.09. 18:45,AUT RLM,Union Vöcklamarkt,1:0,Deutschlandsberg,1,Fussball - Österreich Regionalliga Mitte
020,06.09. 19:00,HB AUT,HSG Graz,24:28,UHK Krems,2,Handball - Österreich HLA
021,06.09. 19:45,U21 EMQ,Türkei U21,2:3,England U21,2,Fussball - U21 EM Qualifikation
022,06.09. 20:45,EM Q,Deutschland,2:4,Niederlande,2,Fussball - Europameisterschaft Qualifikation
023,06.09. 20:45,EM Q,Deutschland,2:5,Niederlande+1,2,Fussball - Europameisterschaft Qualifikation
024,06.09. 20:45,EM Q,Wales,2:1,Aserbaidschan,1,Fussball - Europameisterschaft Qualifikation
025,06.09. 20:45,EM Q,Slowakei,0:4,Kroatien,2,Fussball - Europameisterschaft Qualifikation
026,06.09. 20:45,EM Q,Slowenien,2:0,Polen,1,Fussball - Europameisterschaft Qualifikation
027,06.09. 20:45,EM Q,Österreich,6:0,Lettland,1,Fussball - Europameisterschaft Qualifikation
028,06.09. 20:45,EM Q,Österreich,6:1,Lettland+1,1,Fussball - Europameisterschaft Qualifikation
029,06.09. 20:45,EM Q,Österreich,6:2,Lettland+2,1,Fussball - Europameisterschaft Qualifikation
030,06.09. 20:45,EM Q,San Marino+5,5:4,Belgien,1,Fussball - Europameisterschaft Qualifikation
031,06.09. 20:45,EM Q,Schottland,1:2,Russland,2,Fussball - Europameisterschaft Qualifikation
032,06.09. 21:00,ESP 2,Racing Santander,1:2,Cadiz CF,2,Fussball - Spanien Segunda Division
033,06.09. 22:00,TEN ATP,"Medvedev, Daniil",3:0,"Dimitrov, Grigor",1,Tennis - Tennis ATP
034,07.09. 01:05,TEN ATP,"Berrettini, Matteo",0:3,"Nadal, Rafael",2,Tennis - Tennis ATP
035,07.09. 04:00,INT FS,Costa Rica,1:2,Uruguay,2,Fussball - Internationale Freundschaftsspiele
