Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,11.06. 13:00,INT FS,Südkorea,1:1,Iran,X,Fussball - Internationale Freundschaftsspiele
002,11.06. 15:00,WM DAM,Neuseeland Damen,0:1,Niederlande Damen,2,Fussball - Damen WM 2019 in Frankreich
003,11.06. 16:00,EM Q,Kasachstan,4:3,San Marino+3,1,Fussball - Europameisterschaft Qualifikation
004,11.06. 17:30,U20 WM,Ukraine U20,1:0,Italien U20,1,Fussball - U20 Weltmeisterschaft
005,11.06. 18:00,EM Q,Aserbaidschan,1:5,Slowakei,2,Fussball - Europameisterschaft Qualifikation
006,11.06. 18:00,WM DAM,Chile Damen,0:2,Schweden Damen,2,Fussball - Damen WM 2019 in Frankreich
007,11.06. 18:00,WM Q,Pakistan*,1:2,Kambodscha,2,"Fussball - WM Qualifikation, Asien"
008,11.06. 18:30,SWE 2,IK Brage,0:1,Örgryte Göteborg,2,Fussball - Schweden Superettan
009,11.06. 18:45,FS U21,Österreich U21,3:1,Frankreich U21,1,Fussball - U21 Freundschaftsspiele
010,11.06. 18:45,FS U21,Österreich U21+1,4:1,Frankreich U21,1,Fussball - U21 Freundschaftsspiele
011,11.06. 20:00,U21 EMQ,Kosovo U21,3:1,Türkei U21,1,Fussball - U21 EM Qualifikation
012,11.06. 20:30,U21 EMQ,Montenegro U21,1:2,Kasachstan U21,2,Fussball - U21 EM Qualifikation
013,11.06. 20:30,U20 WM,Ekuador U20,0:1,Südkorea U20,2,Fussball - U20 Weltmeisterschaft
014,11.06. 20:30,BB BEL,Antwerp Giants,57:60,BC Oostende,2,Basketball - Belgien Scooore League
015,11.06. 20:45,EM Q,Italien,2:1,Bosnien-Herzegow.,1,Fussball - Europameisterschaft Qualifikation
016,11.06. 20:45,EM Q,Italien,2:2,Bosnien-Herzegow+1,X,Fussball - Europameisterschaft Qualifikation
017,11.06. 20:45,EM Q,Island,2:1,Türkei,1,Fussball - Europameisterschaft Qualifikation
018,11.06. 20:45,EM Q,Island+1,3:1,Türkei,1,Fussball - Europameisterschaft Qualifikation
019,11.06. 20:45,EM Q,Deutschland,8:4,Estland+4,1,Fussball - Europameisterschaft Qualifikation
020,11.06. 20:45,EM Q,Weißrussland,0:1,Nordirland,2,Fussball - Europameisterschaft Qualifikation
021,11.06. 20:45,EM Q,Ungarn,1:0,Wales,1,Fussball - Europameisterschaft Qualifikation
022,11.06. 20:45,EM Q,Andorra+4,4:4,Frankreich,X,Fussball - Europameisterschaft Qualifikation
023,11.06. 20:45,EM Q,Albanien,2:0,Moldawien,1,Fussball - Europameisterschaft Qualifikation
024,11.06. 20:45,EM Q,Russland,1:0,Zypern,1,Fussball - Europameisterschaft Qualifikation
025,11.06. 20:45,EM Q,Belgien,3:0,Schottland,1,Fussball - Europameisterschaft Qualifikation
026,11.06. 20:45,EM Q,Belgien,3:1,Schottland+1,1,Fussball - Europameisterschaft Qualifikation
027,11.06. 20:45,EM Q,Liechtenstein,0:2,Finnland,2,Fussball - Europameisterschaft Qualifikation
028,11.06. 20:45,EM Q,Griechenland,2:3,Armenien,2,Fussball - Europameisterschaft Qualifikation
029,11.06. 20:45,INT FS,Kroatien,1:2,Tunesien,2,Fussball - Internationale Freundschaftsspiele
