Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,28.06. 16:30,AFR CUP,Tunesien,1:1,Mali,X,Fussball - Afrika Cup
002,28.06. 17:00,FS,LASK Linz AUT*,1:3,Slovan Liberec CZE,2,Fussball - Freundschaftsspiele International (Klub)
003,28.06. 17:30,FIN 2,TPS Juniorijalkapa,4:0,Ekenäs IF,1,Fussball - Finnland Ykkonen
004,28.06. 17:45,BLR 1,FC Torpedo Minsk,0:3,FC Neman Grodno,2,Fussball - Weißrussland Premier League
005,28.06. 18:00,FS,Midtjylland DEN*,0:2,Esbjerg FB DEN,2,Fussball - Freundschaftsspiele International (Klub)
006,28.06. 18:00,SWE 1,Örebro SK,0:1,Helsingborgs IF,2,Fussball - Schweden Allsvenskan
007,28.06. 18:30,SWE 3S,Assyriska Turabdin,1:1,IFK Värnamo,X,Fussball - Schweden Div 1 Södra
008,28.06. 18:30,EST 1,Tammeka Tartu,0:0,JK Nomme Kalju,X,Fussball - Estland Meistriliiga
009,28.06. 19:00,AFR CUP,Marokko,1:0,Elfenbeinküste,1,Fussball - Afrika Cup
010,28.06. 19:00,SWE 3N,Carlstad United,1:2,Karlslunds IF,2,Fussball - Schweden Div 1 Norra
011,28.06. 19:00,FS,Leobendorf AUT,1:2,Vorwärts Steyr AUT,2,Fussball - Freundschaftsspiele International (Klub)
012,28.06. 19:45,BLR 1,FC Torpedo Zhodino,3:3,FC BGU Minsk,X,Fussball - Weißrussland Premier League
013,28.06. 20:45,CL,Feronikeli KOS*,2:1,FC Santa Colom AND,1,Fussball - UEFA Champions League
014,28.06. 20:45,IRL 1,Cork City FC,1:4,FC Derry City,2,Fussball - Irland Premier Division
015,28.06. 20:45,IRL 1,UC Dublin,0:1,St Patrick's,2,Fussball - Irland Premier Division
016,28.06. 20:45,IRL 1,Waterford United,1:2,Boh. Dublin,2,Fussball - Irland Premier Division
017,28.06. 20:45,IRL 2,FC Drogheda United,1:0,FC Bray Wanderers,1,Fussball - Irland First Division
018,28.06. 20:45,IRL 2,FC Galway United,1:1,FC Athlone Town,X,Fussball - Irland First Division
019,28.06. 20:45,IRL 2,Cabinteely FC,2:0,Wexford Youths,1,Fussball - Irland First Division
020,28.06. 20:45,IRL 2,FC Limerick 37,0:1,Shelbourne Dublin,2,Fussball - Irland First Division
021,28.06. 21:00,WM DAM,Frankreich Damen,1:2,USA Damen,2,Fussball - Damen WM 2019 in Frankreich
022,28.06. 21:00,WM DAM,Frankreich Damen,1:3,USA Damen+1,2,Fussball - Damen WM 2019 in Frankreich
023,28.06. 21:00,WM DAM,Frankreich Damen+1,2:2,USA Damen,X,Fussball - Damen WM 2019 in Frankreich
024,28.06. 21:00,COPA AM,Venezuela,0:2,Argentinien,2,Fussball - Copa America
025,28.06. 21:00,COPA AM,Venezuela+1,1:2,Argentinien,2,Fussball - Copa America
026,28.06. 21:00,IRL 1,FC Finn Harps,2:0,FC Sligo Rovers,1,Fussball - Irland Premier Division
027,28.06. 21:00,IRL 1,FC Shamrock Rovers,0:1,FC Dundalk,2,Fussball - Irland Premier Division
028,28.06. 22:00,AFR CUP,Südafrika,1:0,Namibia,1,Fussball - Afrika Cup
029,29.06. 01:00,COPA AM,Kolumbien,0:0,Chile,X,Fussball - Copa America
030,29.06. 01:00,COPA AM,Kolumbien,0:1,Chile+1,2,Fussball - Copa America
031,29.06. 02:00,USA MLS,NY Red Bulls,3:1,Chicago Fire,1,Fussball - USA Major League Soccer
032,29.06. 04:00,USA MLS,Colorado Rapids,1:0,Los Angeles FC,1,Fussball - USA Major League Soccer
