Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,01.10. 16:00,U19 DAQ,Israel U19*,0:2,Österreich U19,2,"Fussball - U19 EM Frauen, Qualifikation"
002,01.10. 16:00,DEN CUP,Viby IF,1:0,Vanlöse IF,1,Fussball - Dänemark Landspokalturneringen
003,01.10. 16:45,ROU 2,Petrolul Ploiesti,0:0,CS Mioveni,X,"Fussball - Rumänien, Liga 2"
004,01.10. 17:30,EH FIN,KalPa Kuopio,0:3,Ässät Pori,2,Eishockey - Finnland SM-Liiga
005,01.10. 17:30,AFC CL,Al-Sadd SC QAT,1:4,Al-Hilal Riyad KSA,2,Fussball - AFC Champions League
006,01.10. 18:30,KHL,HK Dinamo Minsk,1:1,HC Sochi,X,Eishockey - Kontinental Hockey League
007,01.10. 18:30,KHL,Spartak Moskau,3:9,HK CSKA Moskau,2,Eishockey - Kontinental Hockey League
008,01.10. 18:55,CL,Real Madrid ESP,2:2,Club Brügge BEL,X,Fussball - UEFA Champions League
009,01.10. 18:55,CL,Atalanta BC ITA*,1:2,Shakhtar Don. UKR,2,Fussball - UEFA Champions League
010,01.10. 19:00,AUT RLM,Sturm Graz Amat.,1:2,Union Gurten,2,Fussball - Österreich Regionalliga Mitte
011,01.10. 19:00,ESP 2,Albacete Balompie,0:0,Racing Santander,X,Fussball - Spanien Segunda Division
012,01.10. 19:00,ESP 2,UD Extremadura,2:0,Elche CF,1,Fussball - Spanien Segunda Division
013,01.10. 19:00,ESP 2,Numancia CD,1:0,Fuenlabrada,1,Fussball - Spanien Segunda Division
014,01.10. 19:00,SWE 2,Jönköpings Södra,0:0,Mjällby AIF,X,Fussball - Schweden Superettan
015,01.10. 19:00,SWE 2,Norrby IF,0:1,GAIS Göteborg,2,Fussball - Schweden Superettan
016,01.10. 19:00,EH SWE,Brynas IF,4:3,Djurgardens IF,1,Eishockey - Schweden Elitserien
017,01.10. 19:00,EH SWE,HV 71,5:0,Linköpings HC,1,Eishockey - Schweden Elitserien
018,01.10. 19:45,EH SUI,EV Zug,5:1,HC Servette Genf,1,Eishockey - Schweiz National League A
019,01.10. 19:45,EH SUI,SCL Tigers Langnau,0:0,HC Davos,X,Eishockey - Schweiz National League A
020,01.10. 19:45,EH SUI,HC Ambri Piotta,1:2,HC Lugano,2,Eishockey - Schweiz National League A
021,01.10. 19:45,EH SUI,Zürcher SC Lions,5:2,EHC Biel Bienne,1,Eishockey - Schweiz National League A
022,01.10. 19:45,EH SUI,Fribourg Gotteron,1:3,SC Bern,2,Eishockey - Schweiz National League A
023,01.10. 20:45,ENG CS,Blackburn Rovers,1:1,Nottingham Forest,X,Fussball - England Championship
024,01.10. 20:45,ENG CS,Hull City,1:0,Sheffield Wednes.,1,Fussball - England Championship
025,01.10. 20:45,ENG CS,Leeds United,1:0,West Bromwich,1,Fussball - England Championship
