Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,12.11. 15:00,TEN ATP,"Federer, Roger",2:0,"Berrettini, Matteo",1,Tennis - Tennis ATP
002,12.11. 17:00,EH CL,Yunost Minsk BLR,2:3,EHC München GER,2,Eishockey - Champions Hockey League
003,12.11. 17:30,KHL,AK Bars Kasan,3:0,Avangard Omsk,1,Eishockey - Kontinental Hockey League
004,12.11. 17:30,KHL,Dynamo Moskau,3:6,Neftekhimik,2,Eishockey - Kontinental Hockey League
005,12.11. 17:30,KHL,HK CSKA Moskau,2:2,Spartak Moskau,X,Eishockey - Kontinental Hockey League
006,12.11. 17:55,EMQDA,Österreich Damen,9:3,Kasachstan Damen+3,1,"Fussball - EM Qualifikation, Damen"
007,12.11. 18:00,EH CL,Tappara Tamper FIN,3:3,EV Zug SUI,X,Eishockey - Champions Hockey League
008,12.11. 18:00,EH CL,HC Pilsen CZE,1:2,HC Lausanne SUI,2,Eishockey - Champions Hockey League
009,12.11. 18:00,EH CL,Färjestads BK SWE,6:3,Frölunda HC SWE,1,Eishockey - Champions Hockey League
010,12.11. 18:00,EH CL,Skelleftea AIK SWE,3:3,Djurgardens IF SWE,X,Eishockey - Champions Hockey League
011,12.11. 18:30,KHL,HK Dinamo Riga,1:1,Salavat Yulaev Ufa,X,Eishockey - Kontinental Hockey League
012,12.11. 19:15,EH AUT,Fehervar,1:1,Villacher SV,X,Eishockey - Österreich Erste Bank-EHL
013,12.11. 19:15,EH AUT,EC RB Salzburg,1:2,EC Dornbirn,2,Eishockey - Österreich Erste Bank-EHL
014,12.11. 19:15,EH AUT,EC Graz 99ers,3:2,KAC Klagenfurt,1,Eishockey - Österreich Erste Bank-EHL
015,12.11. 19:15,EH AUT,Black Wings Linz,3:3,HC Znojmo,X,Eishockey - Österreich Erste Bank-EHL
016,12.11. 19:15,EH AUT,HC Bozen Foxes,4:1,HC Innsbruck,1,Eishockey - Österreich Erste Bank-EHL
017,12.11. 19:30,EH CL,Augsburger P. GER,2:2,EHC Biel SUI,X,Eishockey - Champions Hockey League
018,12.11. 19:45,EH CL,SC Bern SUI,0:3,Lulea Hockey SWE,2,Eishockey - Champions Hockey League
019,12.11. 19:45,EH SUI,Fribourg Gotteron,1:1,HC Servette Genf,X,Eishockey - Schweiz National League A
020,12.11. 19:45,EH SUI,Zürcher SC Lions,7:2,HC Lugano,1,Eishockey - Schweiz National League A
021,12.11. 20:00,ENG LTR,FC Walsall,6:0,Forest Green,1,Fussball - England Football League Trophy
022,12.11. 20:30,ENG LTR,Bradford City FC,1:2,FC Rochdale,2,Fussball - England Football League Trophy
023,12.11. 20:30,ENG LTR,Colchester United,1:0,Ipswich Town,1,Fussball - England Football League Trophy
024,12.11. 20:30,ENG LTR,Peterborough Utd.,2:1,Cambridge United,1,Fussball - England Football League Trophy
025,12.11. 20:45,ENG LTR,Scunthorpe United,3:0,AFC Sunderland,1,Fussball - England Football League Trophy
026,12.11. 20:45,ENG LTR,Tranmere Rovers,0:2,Salford City,2,Fussball - England Football League Trophy
027,12.11. 20:45,ENG LTR,Burton Albion,1:2,Mansfield Town,2,Fussball - England Football League Trophy
028,12.11. 20:45,ENG LTR,FC Morecambe,3:1,Carlisle United,1,Fussball - England Football League Trophy
029,12.11. 20:45,ENG LTR,Lincoln City,3:0,Rotherham United,1,Fussball - England Football League Trophy
030,12.11. 20:45,ENG LTR,Crawley Town,1:4,Oxford United,2,Fussball - England Football League Trophy
031,12.11. 20:45,ENG LTR,Cheltenham Town,4:7,Newport County,2,Fussball - England Football League Trophy
032,12.11. 20:45,ENG LTR,MK Dons,1:2,Wycombe Wanderers,2,Fussball - England Football League Trophy
033,12.11. 20:45,ENG FA,Yeovil Town,1:4,Hartlepool United,2,Fussball - England FA Cup
034,12.11. 21:00,TEN ATP,"Djokovic, Novak",1:2,"Thiem, Dominic",2,Tennis - Tennis ATP
035,13.11. 12:00,RUS 2,FC Neftekhimik,1:1,FC Avangard Kursk,X,Fussball - Russland 1. Division
036,13.11. 12:30,KHL,HC Red Star Kunlun,2:3,Jokerit Helsinki,2,Eishockey - Kontinental Hockey League
037,13.11. 15:00,KHL,Avtomobilist,5:1,HC Sochi,1,Eishockey - Kontinental Hockey League
038,13.11. 16:30,RUS 2,Tekstilshchik,0:2,FC Tom Tomsk,2,Fussball - Russland 1. Division
039,13.11. 16:30,RUS 2,FC Chayka,3:1,Mordovia Saransk,1,Fussball - Russland 1. Division
040,13.11. 16:30,RUS 2,Shinnik Yaroslavl,3:1,Luch Wladivostok,1,Fussball - Russland 1. Division
041,13.11. 16:30,RUS 2,Fakel Worenesch,0:2,Energ. Khabarovsk,2,Fussball - Russland 1. Division
042,13.11. 16:30,RUS 2,FK Khimki,0:2,FC Rotor Wolgograd,2,Fussball - Russland 1. Division
043,13.11. 17:00,RUS 2,FC Chertanovo Mosk,3:1,FK Baltika,1,Fussball - Russland 1. Division
044,13.11. 17:30,RUS 2,FC Torpedo Moskau,0:2,FC Nizhny Novgorod,2,Fussball - Russland 1. Division
045,13.11. 17:30,EH FIN,JYP Jyväskylä,5:2,Lukko Rauma,1,Eishockey - Finnland SM-Liiga
046,13.11. 17:30,EH FIN,KalPa Kuopio,3:3,Jukurit Mikkeli,X,Eishockey - Finnland SM-Liiga
047,13.11. 17:30,EH FIN,Ilves Tampere,3:0,Vaasan Sport,1,Eishockey - Finnland SM-Liiga
048,13.11. 17:30,EH FIN,Pelicans Lahti,1:1,Kookoo Kouvola,X,Eishockey - Finnland SM-Liiga
049,13.11. 17:30,EH CZE,PSG Berani Zlin,5:4,HC Kometa Brünn,1,Eishockey - Tschechische Republik Extraliga
050,13.11. 17:30,KHL,HK Dinamo Minsk,4:3,HC Vityaz Podolsk,1,Eishockey - Kontinental Hockey League
051,13.11. 18:00,EH CL,Mountfield HK CZE,1:0,Adler Mannheim GER,1,Eishockey - Champions Hockey League
052,13.11. 18:30,EH CZE,Sparta Prag,6:2,HC Kladno,1,Eishockey - Tschechische Republik Extraliga
