Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,30.12. 17:10,KHL,HK Dinamo Minsk,0:2,HK Dinamo Riga,?,Kontinental Hockey League
002,30.12. 17:30,KHL,Jokerit Helsinki,4:1,HC Vityaz Podolsk,?,Kontinental Hockey League
003,30.12. 17:30,KHL,HK CSKA Moskau,3:3,Lok. Jaroslawl,?,Kontinental Hockey League
004,30.12. 18:00,ISR 2,Macc. Petach Tikva,4:0,Hap. Rishon LeZion,?,Israel National League
005,30.12. 18:00,ISR 2,Hap.Kat. Jerusalem,1:1,Bnei Sakhnin FC,?,Israel National League
006,30.12. 18:00,ISR 2,Hapoel Umm al-Fahm,0:2,Hapoel Ramat Gan,?,Israel National League
007,30.12. 18:30,EH AUT,HC Znojmo,0:5,Vienna Capitals,?,Österreich Erste Bank-EHL
008,30.12. 19:00,EH ALP,HC Jesenice SLO,3:3,EK Zell am See AUT,?,Alps Hockey League
009,30.12. 19:00,EH SWE,Lulea Hockey,2:0,Leksands IF,?,Schweden Elitserien
010,30.12. 19:00,EH SWE,Skelleftea AIK,5:1,Färjestads BK,?,Schweden Elitserien
011,30.12. 19:00,EH SWE,HV 71,1:2,Frölunda HC,?,Schweden Elitserien
012,30.12. 19:00,EH SWE,Rögle BK,3:1,Djurgardens IF,?,Schweden Elitserien
013,30.12. 19:00,EH SWE,Växjö Lakers,3:1,IK Oskarshamn,?,Schweden Elitserien
014,30.12. 19:00,EH SWE,Brynas IF,2:3,Malmö IF,?,Schweden Elitserien
015,30.12. 19:00,EH SWE,Linköpings HC,1:2,HC Örebro,?,Schweden Elitserien
016,30.12. 19:00,BB GER,Braunschweig,71:93,Oldenburg,?,Deutschland BBL
017,30.12. 19:15,ISR 1,Hapoel Haifa,1:4,Beitar Jerusalem,?,Israel Winner League
018,30.12. 19:15,EH AUT,Fehervar,3:3,Black Wings Linz,?,Österreich Erste Bank-EHL
019,30.12. 19:15,EH AUT,EC Dornbirn,5:4,HC Bozen Foxes,?,Österreich Erste Bank-EHL
020,30.12. 19:15,EH AUT,Villacher SV,1:1,KAC Klagenfurt,?,Österreich Erste Bank-EHL
021,30.12. 19:15,EH AUT,EC RB Salzburg,5:1,HC Innsbruck,?,Österreich Erste Bank-EHL
022,30.12. 19:30,EH GER,Eisbären Berlin,3:2,Augsburger Panth.,?,Deutschland Deutsche Eishockey Liga
023,30.12. 19:30,EH GER,Schwenninger W.W.,2:2,Straubing Tigers,?,Deutschland Deutsche Eishockey Liga
024,30.12. 19:30,EH GER,DEG Metro Stars,5:2,EHC Wolfsburg,?,Deutschland Deutsche Eishockey Liga
025,30.12. 19:30,EH GER,Bremerhaven P.,4:3,ERC Ingolstadt,?,Deutschland Deutsche Eishockey Liga
026,30.12. 19:30,EH GER,Kölner Haie,4:4,Adler Mannheim,?,Deutschland Deutsche Eishockey Liga
027,30.12. 19:30,EH GER,EHC München,6:1,Krefeld Pinguine,?,Deutschland Deutsche Eishockey Liga
028,30.12. 19:30,EH GER,Nürnberg Ice Tiger,4:4,Iserlohn Roosters,?,Deutschland Deutsche Eishockey Liga
029,30.12. 19:30,EH ALP,EHC Lustenau AUT,5:3,Bregenzerwald AUT,?,Alps Hockey League
030,30.12. 20:00,EH ALP,HC Pustertal ITA,9:3,VEU Feldkirch AUT,?,Alps Hockey League
031,30.12. 20:30,EH ALP,HC Asiago ITA,1:1,SG Cortina ITA,?,Alps Hockey League
032,30.12. 20:30,BB GER,BB Bamberg,76:82,Bayern München,?,Deutschland BBL
033,30.12. 20:45,ENG CS,Derby County,2:1,Charlton Athletic,?,England Championship
034,30.12. 20:45,WAL 1,Bala Town,3:0,Caernarfon Town,?,Wales Premier League
035,30.12. 20:45,WAL 1,Cardiff Met Uni.,0:1,FC Barry Town,?,Wales Premier League
036,30.12. 20:45,WAL 1,The New Saints FC,2:1,Newi Cefn Druids,?,Wales Premier League
037,30.12. 20:45,WAL 1,Aberystwyth Town,1:2,Newtown AFC,?,Wales Premier League
038,30.12. 20:45,WAL 1,Airbus,0:4,Connah's Quay,?,Wales Premier League
039,31.12. 09:00,AUS 1,Central Coast,0:3,Perth Glory,?,Australien Hyundai A-League
040,31.12. 14:00,TUN 1,Esp. Sp. Tunis,7:1,JS Kairouanaise,?,"Tunesien, Ligue 1"
041,31.12. 15:00,EH ENG,Glasgow Clan,5:1,Fife Flyers,?,"England, Elite League"
042,31.12. 17:00,EH ENG,Nottingham Panth.,2:3,Sheffield Steelers,?,"England, Elite League"
043,31.12. 17:30,EH ENG,Coventry Blaze,3:4,Cardiff Devils,?,"England, Elite League"
044,31.12. 19:00,NHL,Washington Cap.,3:4,NY Islanders,?,USA NHL
045,31.12. 19:00,NHL,New Jersey Devils,2:2,Boston Bruins,?,USA NHL
046,31.12. 21:00,NHL,Vegas Gold.Knights,5:2,Anaheim Ducks,?,USA NHL
047,01.01. 00:00,NHL,Minnesota Wild,1:4,Toronto Maple L.,?,USA NHL
048,01.01. 01:00,NHL,Buffalo Sabres,4:6,Tampa Bay Lightn.,?,USA NHL
049,01.01. 01:00,NHL,Carolina Hurric.,3:1,Montreal Canad.,?,USA NHL
050,01.01. 01:00,NHL,Columbus Blue J.,4:1,Florida Panthers,?,USA NHL
051,01.01. 01:30,NHL,Detroit Red Wings,2:0,San Jose Sharks,?,USA NHL
052,01.01. 02:00,NHL,Colorado Avalan.,4:7,Winnipeg Jets,?,USA NHL
053,01.01. 03:00,NHL,Calgary Flames,3:5,Chicago Blackhawks,?,USA NHL
054,01.01. 03:00,NHL,Edmonton Oilers,7:5,New York Rangers,?,USA NHL
055,01.01. 03:00,NHL,Los Angeles Kings,5:3,Philadelphia Fl.,?,USA NHL
056,01.01. 03:00,NHL,Arizona Coyotes,3:1,St. Louis Blues,?,USA NHL
057,01.01. 06:35,JPN CUP,Vissel Kobe*,2:0,Kashima Antlers,?,Japan Emperor Cup
058,01.01. 09:30,AUS 1,Western Sydney,1:2,Brisbane Roar,?,Australien Hyundai A-League
059,01.01. 13:30,ENG PL,Brighton & Hove,1:1,FC Chelsea,?,England Premier League
060,01.01. 13:30,ENG PL,FC Burnley,1:2,Aston Villa,?,England Premier League
061,01.01. 13:45,ENG CS,FC Millwall,3:1,Luton Town,?,England Championship
062,01.01. 16:00,ENG PL,Newcastle United,0:3,Leicester City,?,England Premier League
063,01.01. 16:00,ENG PL,FC Southampton,1:0,Tottenham,?,England Premier League
064,01.01. 16:00,ENG PL,FC Watford,2:1,Wolverhampton,?,England Premier League
065,01.01. 16:00,ENG CS,Birmingham City,2:3,Wigan Athletic,?,England Championship
066,01.01. 16:00,ENG CS,Bristol City,0:4,FC Brentford,?,England Championship
067,01.01. 16:00,ENG CS,FC Fulham,1:2,FC Reading,?,England Championship
068,01.01. 16:00,ENG CS,Huddersfield Town,2:5,Stoke City,?,England Championship
069,01.01. 16:00,ENG CS,Nottingham Forest,3:2,Blackburn Rovers,?,England Championship
070,01.01. 16:00,ENG CS,Preston North End,0:2,FC Middlesbrough,?,England Championship
071,01.01. 16:00,ENG CS,Queens Park R.,6:1,Cardiff City,?,England Championship
072,01.01. 16:00,ENG CS,Sheffield Wednes.,0:1,Hull City,?,England Championship
073,01.01. 16:00,ENG 1,AFC Wimbledon,1:1,Southend United,?,England League One
074,01.01. 16:00,ENG 1,Accrington Stanley,1:2,FC Rochdale,?,England League One
075,01.01. 16:00,ENG 1,Bolton Wanderers,3:4,Burton Albion,?,England League One
076,01.01. 16:00,ENG 1,Doncaster Rovers,1:0,Oxford United,?,England League One
077,01.01. 16:00,ENG 1,Fleetwood Town,1:1,AFC Sunderland,?,England League One
