= Argentina =

# table rows: 24, headers: 4  ! Club !! City !! Stadium !! Capacity

Aldosivi                                             # Mar del Plata
Argentinos Juniors                                   # Buenos Aires
Arsenal de Sarandí | Arsenal                         # Sarandí
Atlético Tucumán                                     # Tucumán
Club Atlético Banfield | Banfield                    # Banfield
Boca Juniors                                         # Buenos Aires
Central Córdoba de Santiago del Estero | Central Córdoba (SdE)   # Santiago del Estero
Club Atlético Colón | Colón                          # Santa Fe
Defensa y Justicia                                   # Florencio Varela
Estudiantes de La Plata | Estudiantes (LP)           # La Plata
Club de Gimnasia y Esgrima La Plata | Gimnasia y Esgrima (LP)   # La Plata
Godoy Cruz Antonio Tomba | Godoy Cruz                # Godoy Cruz
Club Atlético Huracán | Huracán                      # Buenos Aires
Club Atlético Independiente | Independiente          # Avellaneda
Club Atlético Lanús | Lanús                          # Lanús
Newell's Old Boys                                    # Rosario
Club Atlético Patronato | Patronato                  # Paraná
Racing Club de Avellaneda | Racing                   # Avellaneda
Club Atlético River Plate | River Plate              # Buenos Aires
Rosario Central                                      # Rosario
San Lorenzo de Almagro | San Lorenzo                 # Buenos Aires
Talleres de Córdoba | Talleres (C)                   # Córdoba
Unión de Santa Fe | Unión                            # Santa Fe
Club Atlético Vélez Sarsfield | Vélez Sarsfield      # Buenos Aires


