= Austria =

# table rows: 12, headers: 4  ! Team !! Location !! Venue !! Capacity

FC Admira Wacker Mödling | Admira Wacker Mödling     # Maria Enzersdorf
FK Austria Wien | Austria Wien                       # Vienna
LASK Linz | LASK                                     # Pasching
SK Rapid Wien | Rapid Wien                           # Vienna
FC Red Bull Salzburg | Red Bull Salzburg             # Wals-Siezenheim
SC Rheindorf Altach | Rheindorf Altach               # Altach
SKN St. Pölten | St. Pölten                          # Sankt Pölten
SK Sturm Graz | Sturm Graz                           # Graz
SV Mattersburg                                       # Mattersburg
TSV Hartberg                                         # Hartberg
FC Wacker Innsbruck | Wacker Innsbruck               # Innsbruck
Wolfsberger AC                                       # Wolfsberg


# table rows: 16, headers: 4  ! Club Name !! City !! Stadium !! Capacity

SC Austria Lustenau | Austria Lustenau               # Lustenau
FC Blau-Weiß Linz                                    # Linz
Floridsdorfer AC                                     # Vienna
FK Austria Wien | FK Austria Wien II                 # Vienna
Kapfenberger SV                                      # Kapfenberg
FC Liefering | Liefering                             # Salzburg
SV Ried                                              # Ried im Innkreis
FC Wacker Innsbruck | Wacker Innsbruck II            # Innsbruck
SC Wiener Neustadt | Wiener Neustadt                 # Wiener Neustadt
WSG Wattens                                          # Wattens
FC Juniors OÖ                                        # Pasching
SV Horn                                              # Horn
SKU Amstetten                                        # Amstetten
SV Lafnitz                                           # Lafnitz
SK Vorwärts Steyr                                    # Steyr
SK Austria Klagenfurt | SK Austria Klagenfurt        # Klagenfurt


